Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-27.360573348060136,-32.06122003440791,-34.07867006655392,-32.60489233622848,-20.107021510739724,-21.618183424684737,-11.364000804085078,-14.259132505355119,-10.641274770745596,-8.701321888756732,-3.891334844953,-6.024760923067921,-8.7790058314213,-5.114346077264852,1.2156674567777346,-61.19809104190705,-93.01220263664429,-31.814111594723943,107.70419236042468,-45.29103524454274,-108.91925843392454,29.224199742158824,-119.01750372753858,-157.83492042279877,-162.3775092991073,-124.33122457490677,-99.76729791864304
0.002,-26.93301468614531,-31.326088240072586,-33.71000709166382,-32.34923101300079,-19.741773718961625,-21.295704152647282,-10.54403518607656,-13.263308891138053,-10.404627836389018,-8.700557354213116,-3.832996927190574,-6.195734755649095,-9.267428483484577,-5.1780944469818415,1.208374693432831,-61.92227841537063,-92.97802166483602,-31.055743249452433,108.41128924798377,-46.39440679064173,-108.50589328948054,28.39007427552844,-119.66960084926234,-158.51709943780259,-162.6742196229497,-124.71372872615031,-100.08032701218188
0.004,-26.50545602423013,-30.590956445736655,-33.34134411677342,-32.093569689772885,-19.376525927183227,-20.97322488060956,-9.724069568067364,-12.267485276920167,-10.167980902032246,-8.699792819669497,-3.7746590094281007,-6.36670858823041,-9.755851135548257,-5.241842816698884,1.2010819300879212,-63.07653725204196,-93.51396055442169,-30.437423302367133,109.8335175294476,-47.85782560085536,-108.7326722055236,27.54600219841333,-120.52172212145791,-159.3894094514126,-163.3311195606974,-125.29641990331105,-100.50360264254206
0.006,-26.246926614167,-29.940311200496275,-33.1694863247945,-32.09091923759615,-19.12391243593013,-20.79133431322565,-9.326029444062726,-11.777960618478666,-9.959412312640193,-8.670932108187886,-3.8287687154481764,-6.650290924759324,-9.766274414520836,-5.361730053775707,1.1376646904115713,-64.27086768032908,-94.55001994805514,-30.279152267713826,111.54587765455109,-49.13129154646875,-109.68959608183043,26.601983568029528,-121.53386809590629,-160.28184990100877,-164.2082084643861,-125.86929813507781,-100.95712633582455
0.008,-26.18634202425017,-29.388605485438838,-33.22810086886657,-32.38456182828978,-19.0032014178613,-20.77408273910703,-9.422092944790537,-11.881346681958744,-9.783725386529031,-8.609168850964254,-4.014562283413256,-7.065745524915342,-9.216927719361962,-5.547359745966211,1.0085218485005223,-65.08526982323554,-96.01620047980913,-30.93093065656169,113.0933700633342,-49.61980449495092,-111.48166580800836,25.67801843822498,-122.59603931788824,-160.73442021253544,-165.07548567309922,-126.27236343959403,-101.29089960746062
0.01,-26.125757434333288,-28.836899770380942,-33.2867154129387,-32.67820441898366,-18.882490399792367,-20.75683116498839,-9.518156445518429,-11.984732745438906,-9.608038460417726,-8.54740559374057,-4.200355851378488,-7.481200125071702,-8.667581024202637,-5.732989438156867,0.879379006589367,-66.09974379836142,-97.43250277515853,-31.332758976785573,114.81599518613444,-50.4333643099645,-113.09888226346976,24.83410685950525,-123.56823632613464,-161.13711980051204,-165.83295051300357,-126.39561582447723,-101.54492396218768
0.012,-26.065172844416455,-28.285194055323505,-33.345329957010776,-32.9718470096773,-18.761779381723535,-20.739579590869766,-9.614219946246239,-12.088118808918985,-9.432351534306564,-8.485642336516939,-4.3861494193435675,-7.89665472522772,-8.118234329043762,-5.918619130347371,0.750236164678318,-67.69428971790478,-98.70892745096458,-31.01463773304864,117.04875344358048,-52.18697085137594,-114.21624631740738,24.550248879059488,-124.02045965277757,-161.0699480680454,-166.09060229738645,-126.20905528683959,-101.51920089402613
0.014,-26.13841042143277,-27.956181549227306,-33.44846850051494,-33.13193422740525,-18.70798310307586,-20.81137770652578,-9.866269307404439,-12.325257322760537,-9.323408428514787,-8.446149865619333,-4.505164003497879,-8.223200935461273,-7.502056362550418,-5.992889188494832,0.6211756927573495,-68.81890768866366,-98.86547511545965,-30.046567426785177,118.25164524658656,-53.79562397526618,-113.88875882877073,24.67644454078666,-124.11270982330254,-160.75290440684287,-166.1184403266945,-125.78268181330945,-101.2737318862569
0.016,-26.444796853349075,-28.015151601276777,-33.62917804530431,-33.059337406410044,-18.77076762138814,-21.038320770705372,-10.390081752163756,-12.795423229271837,-9.330748339473816,-8.445458203650707,-4.5078343080483165,-8.394848373865932,-6.7694430196150925,-5.873145267088454,0.4922587282186443,-69.13359781203883,-98.06214636823292,-28.92854855618365,118.16467099634802,-54.669323533941736,-112.52642064624327,24.942693885322104,-124.0949873565015,-160.27598819722743,-165.90646388857306,-125.196495380054,-100.97851841139999
0.018000000000000002,-26.751183285265633,-28.074121653326298,-33.80988759009382,-32.98674058541478,-18.833552139700465,-21.265263834885154,-10.913894196923504,-13.265589135783522,-9.338088250432849,-8.44476654168208,-4.510504612598756,-8.566495812270732,-6.036829676679165,-5.7534013456819775,0.3633417636798331,-69.5783601840369,-96.90894180021692,-27.33058161616998,118.03283108433776,-55.913069375946264,-110.57423260822047,25.58899695006421,-123.72729276442715,-159.56919880815346,-165.38467225790797,-124.46049595280289,-100.55356193119373
