Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-20.87559396913721,-23.065611797771794,-25.861345042309523,-25.814885909150465,-12.78144465484721,-6.857591709354543,-14.797688209158155,-10.825534998940206,-5.24243192235472,-1.185604206212033,1.5509024822085673,-2.97669631357911,-3.677884108337032,-1.331042157092219,4.2908796901290795,-70.60319929024878,-79.32043227539717,-8.717232985174224,110.2634154279056,-66.24458279759041,-83.67904876804118,22.67037836840595,-123.5853475730086,-160.04991548521554,-168.47642748305213,-130.97051969339918,-109.31559573588873
0.002,-20.25510716208174,-22.814422632865398,-25.434829725386052,-25.39388052108868,-12.171439878005653,-6.561767320040237,-14.35820625299986,-10.25985037136027,-4.939171931266828,-0.9367464839469006,1.618285150365315,-2.920094661735708,-4.050869273433482,-1.1458838900751194,4.593059092240204,-69.94346680532092,-78.4402417510112,-8.49677494571629,109.16358768078479,-65.69507933239107,-82.68862922392562,23.630965420345277,-123.13839467652247,-159.49983737397682,-167.71076572516031,-130.38643302844096,-109.04136375620703
0.004,-19.634620355026268,-22.563233467959,-25.00831440846258,-24.97287513302689,-11.561435101164097,-6.26594293072593,-13.918724296841566,-9.694165743780335,-4.635911940178935,-0.6878887616817679,1.6856678185220628,-2.863493009892307,-4.423854438529931,-0.9607256230580196,4.895238494351329,-68.94372636188865,-77.50002450015118,-8.556298138288708,107.69373861192256,-64.66557729267217,-81.77817356935115,24.631498765040376,-122.74151076894985,-159.06986511171027,-166.98520322459208,-129.83236621906772,-108.61707555721874
0.006,-19.014133547970797,-22.312044303052605,-24.58179909153911,-24.551869744965103,-10.95143032432254,-5.970118541411623,-13.479242340683271,-9.128481116200398,-4.3326519490910425,-0.43903103941663535,1.7530504866788106,-2.8068913580489054,-4.79683960362638,-0.7755673560409198,5.1974178964624524,-67.43397780981923,-76.64978002149829,-9.2158022117054,105.75886782052672,-62.826076703893946,-81.25768112740592,25.451978029164014,-122.58469612199517,-158.87999844643127,-166.4997396871994,-129.4283194509124,-108.13273203527872
0.008,-18.43570496043904,-22.088902793496153,-24.18330473144417,-24.214892816552904,-10.411499426613304,-5.730339646937811,-13.109765124858352,-8.70292520321596,-4.099449455344437,-0.27423182039176514,1.792378386086297,-2.7783486905314883,-5.085894428120867,-0.6324862290759672,5.443537094583121,-65.32422099661595,-75.89950780977118,-10.575286813181737,103.27397490145994,-60.03657758995206,-81.18715121641631,25.85240284023103,-122.69795099937986,-158.93023711660607,-166.2443748092681,-129.19429290364582,-107.73833408287156
0.01,-17.99850077991304,-21.959940579676164,-23.878900017954795,-24.16006928217125,-10.106864795342824,-5.6787520706830374,-12.975352019046698,-8.747897877677907,-4.101488220744398,-0.3916868767067132,1.737503104162911,-2.8440233595404787,-5.0931253257967075,-0.6306930410582846,5.501415583640217,-63.01445576743602,-75.59920735576276,-12.584751588353388,100.81405944527584,-56.72207997318588,-81.891583149993,26.022772826641436,-122.95127565680679,-159.1505808511643,-166.10910827755353,-129.0002867509949,-107.34388258860722
0.012,-17.561296599387042,-21.830978365856176,-23.574495304465415,-24.1052457477896,-9.802230164072345,-5.627164494428263,-12.840938913235043,-8.792870552139856,-4.103526986144359,-0.5091419330216613,1.682627822239525,-2.909698028549469,-5.100356223472548,-0.628899853040602,5.559294072697313,-61.17468196510866,-76.24887814637717,-15.074196181295308,99.29912103825576,-53.637583874387126,-83.78597623707768,25.86308761772364,-123.40467034192561,-159.57102936951307,-166.12393976931733,-128.9663011607619,-107.21937843721678
0.014,-17.124092418860688,-21.70201615203608,-23.270090590975787,-24.050422213407902,-9.497595532801615,-5.575576918173447,-12.706525807423278,-8.83784322660184,-4.105565751544322,-0.6265969893367059,1.627752540316094,-2.9753726975585133,-5.107587121148395,-0.6271066650229179,5.617172561754456,-59.60489943015381,-76.99851966466774,-17.39362023454089,98.10415926244627,-50.90808931280904,-85.69532978199031,25.52334684377763,-123.97813529429918,-160.16158238155177,-166.24886895236554,-129.05233629484457,-107.21482250954932
0.016,-16.743965354179277,-21.58937565002041,-22.998292511024772,-24.020044770828786,-9.22558778595524,-5.540302368656367,-12.621001739024516,-8.948060596186364,-4.09946927663338,-0.7440647801631733,1.5484009447726734,-3.0166225920047696,-5.049674933036076,-0.6334980046144374,5.642428571204105,-57.995108000801004,-77.30813138987514,-19.313023389101257,96.64917369569723,-48.3385963061756,-86.96464308447716,24.59355013611833,-124.91167074537088,-161.0322395876886,-166.65389548508756,-129.40839230925698,-107.51021568256938
0.018000000000000002,-16.734189596037467,-21.582640416731877,-22.938066252005804,-24.148288553321848,-9.1652832601981,-5.610876733831649,-12.852699706347176,-9.481625532056748,-4.040586377013099,-0.861615200304552,1.3102320264841012,-2.899389580694653,-4.569074482269503,-0.6929955751117123,5.456009940714422,-56.505307513008916,-77.58771279746637,-21.08240528448471,95.29916391170082,-45.96410487069135,-88.12891543975938,23.20369712711892,-126.115276918433,-162.25300067885775,-167.40901901649676,-130.05446935415148,-108.19555882935504
0.02,-16.724413837895654,-21.575905183443343,-22.877839992986836,-24.276532335814913,-9.104978734440959,-5.68145109900693,-13.084397673669837,-10.015190467927132,-3.9817034773928177,-0.9791656204459305,1.072063108195529,-2.782156569384537,-4.08847403150293,-0.7524931456089872,5.269591310224738,-55.635497800485226,-78.63726335917413,-23.001765558716333,94.95412948003107,-44.13461502105139,-90.13814613858221,21.683787450254265,-127.42895402859646,-163.65386533653836,-168.32423918627183,-130.84056757384133,-109.13085281909683
0.022,-16.714638079753833,-21.569169950154805,-22.817613733967818,-24.40477611830808,-9.04467420868377,-5.752025464182268,-13.316095640992687,-10.548755403797955,-3.9228205777724883,-1.096716040587406,0.833894189906761,-2.6649235580743245,-3.607873580735961,-0.8119907161063111,5.083172679734901,-55.62567869470677,-80.4067825430369,-24.78110384835771,95.82906996618408,-43.235126770451785,-92.79733446726495,20.16382074014435,-128.6427022827611,-165.01483323277415,-169.2895556247998,-131.62668710682442,-110.12609851709738
