-61,-77,-54,-81,-25,-38,-49,-47,-20,-43,-29,-49,-63,-107,15,-81,73,
-49,-46,-41,-45,-10,-34,-37,-35,-97,-39,6,-5,-70,-33,7,-60,73,
-61,-106,-52,-35,-52,-50,-43,-46,-8,-41,-51,-8,-45,-5,-15,-74,73,
-54,-89,-38,-33,-57,-56,-47,-43,-66,-35,-38,-54,-35,-73,0,-70,73,
-63,-110,-55,-59,-72,-54,-46,-39,-57,-33,-37,-4,-36,-51,-5,-80,73,
-58,-57,-53,-67,-62,-61,-54,-49,-60,-18,-59,-41,-55,-66,5,-75,73,
-54,-54,-50,-70,-54,-47,-50,-44,-91,-35,-41,-49,-40,-119,10,-72,74,
-44,-50,-37,-57,-49,-45,-38,-32,-60,-14,-14,-43,-59,6,1,-57,74,
-49,-48,-43,-28,-46,-31,-44,-28,5,-51,-60,-67,-14,17,29,-63,74,
-35,-42,-27,-6,-21,-36,-29,-22,22,-5,-72,13,-15,-5,33,-45,74,
-56,-27,-32,-8,-30,-48,-31,-11,-54,-23,-28,21,1,-81,40,-50,74,
-97,-58,-27,26,-51,-67,-26,23,-54,-39,23,5,-89,20,4,-58,74,
-30,0,19,54,-41,-27,-22,-26,-86,-56,-37,18,-34,-14,-9,-70,75,
153,127,26,-152,124,50,-49,-201,34,15,-37,-98,36,-55,-13,-75,75,
305,150,-86,-437,223,79,-143,-421,21,61,-69,-236,148,47,9,-92,75,
317,147,-100,-424,235,54,-169,-433,115,16,-90,-249,183,30,-25,-107,75,
133,1,-73,-223,87,2,-118,-274,62,-13,-55,-185,90,-20,-5,-85,75,
16,-29,-82,-119,33,-22,-83,-120,56,-2,-56,-103,51,15,12,-54,75,
-36,-74,-59,-49,-51,-55,-65,-66,-9,-41,-7,-68,-32,-85,3,-67,76,
-39,12,-29,-6,-32,-42,-33,-22,-55,-31,-22,-69,-25,-44,14,-47,76,
-62,-107,-38,11,-40,-58,-22,-23,-60,-30,-41,-41,-28,-8,9,-64,76,
-62,-103,-31,2,-72,-51,-36,-11,-15,-48,-66,-60,-64,-84,-6,-58,76,
-76,-74,-42,15,-81,-29,-47,-20,-86,-51,-80,-26,-56,3,-20,-72,76,
-83,-119,-44,-26,-95,-41,-49,-21,-4,-54,-40,-27,-71,5,33,-74,76,
-70,-69,-35,23,-75,-63,-39,-12,-15,-67,-3,-48,-86,10,5,-67,77,
-56,-61,-18,-5,-60,-47,-24,15,-58,-41,50,-48,-41,-80,14,-53,77,
-76,-69,-36,-16,-81,-57,-33,-17,-89,-52,-64,6,-44,-97,7,-71,77,
-73,-45,-34,-7,-67,-54,-42,-14,-17,-29,-67,-85,-87,-111,6,-70,77,
-75,-64,-35,14,-46,-33,-32,-16,-9,-42,-15,-29,-68,-17,-4,-67,77,
-62,-41,-24,25,-64,-12,-32,-7,-22,-40,25,-18,-37,-24,1,-62,77,
-68,-48,-29,-32,-61,-62,-39,-13,-49,-70,-7,-6,-38,-77,10,-69,78,
-43,-43,0,38,-18,-23,-14,23,6,-12,-15,-9,-39,-4,33,-41,78,
-46,0,-6,24,-63,-22,-8,5,5,-29,-12,-13,-48,-49,2,-43,78,
-51,-75,-10,22,-26,-36,-26,-2,-19,-36,-17,-16,-38,-95,3,-59,78,
-54,-26,-13,-25,-74,-52,-31,-8,-56,-41,-66,-38,-86,-134,18,-46,78,
-43,15,-3,40,-55,-44,-24,-2,-71,-52,-66,-16,-3,-146,26,-54,78,
-43,-7,-1,8,-46,-45,-25,7,-54,-47,-48,-51,-31,-16,21,-53,79,
-26,-31,15,34,-28,-1,-15,5,-51,-12,6,-63,-30,-32,-3,-50,79,
-34,13,7,41,-42,-35,-28,-10,-64,-73,-71,-67,-83,-171,-8,-58,79,
-4,-1,35,81,8,-17,-4,12,-32,1,-33,7,-37,-27,9,-42,79,
-11,1,25,86,6,-19,-19,-7,-15,-48,-25,-72,-63,29,-17,-56,79,
2,12,34,57,-10,0,-15,-8,-17,-44,-36,-21,-65,-10,14,-57,79,
3,4,31,46,-36,-12,-22,-17,9,-63,-86,-45,-51,-73,-18,-61,80,
16,22,37,59,-3,17,-12,-16,-11,-29,25,-23,-28,42,-21,-64,80,
-2,16,14,33,-30,-21,-36,-20,6,-32,-85,-68,-78,-153,-24,-71,80,
13,62,21,56,-20,-28,-35,-37,-61,-59,-98,-92,-31,47,-26,-75,80,
29,30,32,32,18,-12,-9,-23,12,-12,-28,-94,-55,-80,-10,-62,80,
22,22,22,46,-2,-17,-24,-28,-5,-7,-75,-92,-41,-76,9,-68,80,
0,11,1,12,-11,-34,-39,-42,-61,-73,-41,-30,-22,16,-20,-73,81,
21,37,24,-18,-10,-4,-5,-5,3,-5,-39,-25,-18,-36,28,-40,81,
-5,-7,2,12,-19,12,-17,-12,-74,-5,7,-35,-22,-1,5,-42,81,
-25,-55,-17,-6,-29,-22,-27,-18,-69,-49,-39,-24,-11,-67,9,-56,81,
-26,17,-21,-13,-27,-21,-24,-2,-10,-5,-22,-24,-12,-79,16,-43,81,
-31,-57,-22,-22,-41,-16,-7,-3,-17,-2,8,5,0,4,40,-36,81,
-25,-36,-14,12,-16,4,-6,10,-20,-1,42,45,-20,-8,53,-10,82,
-28,-57,-20,-22,-20,-9,-7,8,-17,-12,46,13,6,-38,53,-21,82,
-41,19,-30,-6,-34,-9,-6,-1,-81,-10,31,24,10,18,55,-31,82,
-35,-11,-25,-24,-27,-23,-8,6,21,-6,-53,60,11,28,62,-26,82,
-51,9,-39,-20,-24,-39,-25,-9,-70,-29,-2,13,0,2,43,-40,82,
-44,-21,-33,-6,-32,10,-18,-4,54,4,37,-6,8,58,47,-33,82,
-43,10,-32,-5,-26,-30,-18,-3,23,2,-63,-10,4,14,41,-34,83,
-19,-35,-10,-3,2,2,1,18,0,1,-14,20,19,-52,72,-16,83,
-31,-52,-22,-5,-8,-13,-10,5,-56,-37,-39,35,0,-5,43,-23,83,
-31,-10,-20,-15,-26,-12,-1,4,-15,5,3,57,11,19,67,-22,83,
-20,-43,-5,-20,-22,-1,3,19,-34,28,-18,-18,-6,-15,50,-16,83,
-21,-28,-10,-2,-15,1,-1,26,2,17,1,-6,-12,-22,79,-18,83,
-29,-50,-18,-10,-9,-4,-10,16,-39,19,-23,41,25,-28,50,-30,84,
-12,34,0,27,-2,-2,7,24,64,22,44,49,54,28,80,-13,84,
-34,-19,-22,-6,-39,-5,-14,3,-11,3,-33,33,4,19,43,-32,84,
-40,-56,-29,-14,-26,-33,-10,-4,-1,-15,3,-26,8,25,23,-44,84,
-33,-40,-23,-19,-18,5,-13,4,-9,14,22,-22,6,-9,33,-31,84,
-23,-18,-11,19,-18,-14,-3,13,50,25,-34,26,2,103,54,-21,84,
-11,-16,0,0,-4,-4,8,26,90,37,136,22,37,119,74,-14,85,
-7,-22,4,-42,26,-1,12,30,8,9,-23,59,35,13,69,4,85,
-15,11,-6,2,0,3,4,21,33,32,42,68,22,19,51,-15,85,
-7,22,1,10,-2,21,12,28,81,31,56,21,13,-24,59,-3,85,
-17,-6,-9,16,-1,10,1,17,38,20,-1,-13,3,23,56,-21,85,
-12,-35,-7,-10,-18,-8,5,21,14,-18,107,24,8,-33,52,-14,85,
-17,-26,-10,-15,1,10,0,16,40,-1,7,14,-3,-23,91,-23,86,
7,23,12,-4,32,20,21,37,80,45,9,53,58,-15,80,3,86,
8,21,14,40,15,30,25,38,-32,15,14,27,27,25,82,5,86,
-9,-32,-3,23,8,26,9,23,7,31,78,57,18,8,77,-9,86,
5,27,8,34,39,34,20,34,34,41,8,46,55,-2,79,-3,86,
3,-5,28,-7,30,14,21,35,-5,-10,14,36,45,-3,90,1,86,
-11,-1,-6,9,6,-5,7,20,43,26,-31,34,54,87,74,-13,87,
12,15,15,50,36,38,27,42,17,28,2,16,23,63,84,8,87,
-1,42,6,9,3,17,23,28,11,4,20,-4,21,35,72,-6,87,
0,4,9,-23,35,33,18,29,-12,16,45,49,16,16,104,-5,87,
-3,-40,13,36,7,32,15,30,44,45,28,62,39,20,62,-8,87,
-6,24,-2,13,14,-2,10,24,-79,-8,75,20,35,71,85,-12,87,
6,8,11,29,12,34,26,39,-9,40,71,44,49,67,76,2,88,
12,55,18,35,39,23,32,46,74,40,52,58,50,31,73,21,88,
-3,56,4,10,39,20,17,30,-32,36,72,46,25,35,86,0,88,
-5,11,0,-4,20,41,13,26,24,24,40,28,31,16,92,-4,88,
1,-29,8,34,28,10,20,32,-6,40,26,55,53,50,70,7,88,
1,2,7,35,11,18,19,44,39,52,56,45,27,25,81,8,88,
-7,-6,-2,3,43,9,11,25,33,11,-24,17,30,51,54,-8,89,
18,25,23,39,27,44,36,59,34,40,82,27,54,-4,90,20,89,
10,-35,14,32,23,26,36,41,40,12,39,33,50,45,83,3,89,
2,-7,13,-9,12,29,20,35,36,63,30,37,58,28,92,4,89,
