Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,-0.7160328076589386,-9.204383357627684,-20.02369878597893,-36.01034461606397,-2.5236211355703677,-2.5239124597225073,-1.948625890206041,-13.960419285485017,16.604229995520512,22.026903302024813,1.2013776990341705,-6.856691796089836,-7.787695847811547,-9.185176558309099,-13.47852151627972
0.002,-4.383682902221471,-11.646201918638383,-19.95887441906949,-33.87394819334949,-6.305586227903855,-3.068642716394363,-2.678416360944964,-13.834248937259645,6.9666429388087785,12.209810931941723,0.6621994781594147,-7.2286249714825175,-7.532771657385542,-8.503146246064983,-16.02133690513042
0.004,-8.051332996790906,-14.088020479653679,-19.89405005215993,-31.737551770630997,-10.087551320244462,-3.6133729730672437,-3.40820683168526,-13.708078589034034,-2.670944117921092,2.392718561840155,0.12302125728364399,-7.600558146875899,-7.277847466959058,-7.821115933819584,-18.5641522939859
0.006,-11.718983091360341,-16.529839040668975,-19.829225685250368,-29.6011553479125,-13.869516412585067,-4.158103229740124,-4.137997302425557,-13.581908240808424,-12.308531174650962,-7.424373808261414,-0.41615696359212695,-7.972491322269281,-7.022923276532573,-7.139085621574186,-21.106967682841383
0.008,-15.036923195745677,-18.89221595679573,-19.780329849062856,-27.719134891482746,-17.015623858762464,-4.369021419138753,-4.867825871641633,-13.582975356579327,-20.801536665751,-16.526121967881398,-0.9075959282222512,-8.280786450980045,-6.577206455264699,-6.47292725280874,-23.093436331448274
0.01,-17.36185561931249,-21.02901692210226,-19.776663356604068,-26.559419474748086,-18.35620231155265,-3.632074360003267,-5.597762622156456,-13.945335493956364,-26.04448262780708,-23.59663763380714,-1.263478433331624,-8.408380224503315,-5.589730595957802,-5.8518375472962685,-23.500148605401158
0.012,-19.6867880428793,-23.165817887408792,-19.77299686414528,-25.399704058013427,-19.696780764342837,-2.895127300867781,-6.327699372671278,-14.307695631333399,-31.28742858986316,-30.667153299732888,-1.6193609384409968,-8.535973998026584,-4.602254736650904,-5.230747841783797,-23.906860879354042
0.014,-22.011720466441737,-25.302618852711298,-19.7693303716865,-24.239988641280952,-21.0373592171305,-2.1581802417336813,-7.057636123184726,-14.670055768709753,-36.530374551909375,-37.73766896564533,-1.9752434435497,-8.663567771549614,-3.6147788773458656,-4.609658136272496,-24.313573153306162
0.016,-23.774287839406682,-26.967450305511242,-19.665259271615344,-23.20079928560011,-21.915995008607187,-1.4815022780968232,-7.797639179920876,-15.082667528334873,-40.57826355819401,-43.552886804171486,-2.3110108943634122,-8.82125688368521,-2.8883886671455437,-4.219530031694702,-24.529506967241485
0.018000000000000002,-22.681262929011652,-26.235702354145605,-19.05135097165984,-22.773620383841845,-20.44896600887787,-1.1108603382967501,-8.588757195413434,-15.750448318404493,-38.55786041612363,-42.99391978642968,-2.5446375848923606,-9.131764910535528,-3.4877461435890487,-5.002184916877144,-23.776700818274804
0.02,-21.588238018618682,-25.503954402781346,-18.437442671705494,-22.34644148208439,-18.981937009151313,-0.7402183984973745,-9.379875210904505,-16.418229108472854,-36.53745727405706,-42.43495276868892,-2.7782642754208693,-9.442272937385264,-4.087103620031426,-5.784839802058113,-23.023894669309534
0.022,-20.495213108223652,-24.77220645141571,-17.823534371749993,-21.919262580326127,-17.514908009421994,-0.3695764586973014,-10.170993226397062,-17.08600989854247,-34.51705413198668,-41.87598575094712,-3.011890965949817,-9.752780964235582,-4.686461096474932,-6.567494687240556,-22.271088520342854
0.024,-19.33518479630779,-23.948332313156147,-17.151001805250285,-21.450210104830838,-16.026943172034148,0.0010595425481771045,-10.890924244021189,-17.690986274576282,-32.42964113043855,-41.15787781247005,-3.23294119499957,-10.08840384113596,-5.277434866320457,-7.287322716458632,-21.518294403845633
0.026000000000000002,-17.26565608703813,-21.873942504274094,-15.682706747498619,-20.41276809853472,-14.254796453771142,0.37161493418745944,-10.644566963164257,-17.443459072808942,-29.432640071594832,-38.27959998173414,-3.2832792444724124,-10.76493427767599,-5.754608675131426,-7.1543425424014915,-20.76566361541247
0.028,-15.196127377764581,-19.79955269538814,-14.214411689744189,-19.37532609223665,-12.4826497355048,0.7421703258274391,-10.398209682306861,-17.19593187104114,-26.435639012745483,-35.40132215099281,-3.3336172939453492,-11.441464714217297,-6.231782483943293,-7.021362368344101,-20.01303282697789
0.03,-13.12659866849103,-17.725162886502183,-12.74611663198976,-18.33788408593858,-10.710503017238457,1.112725717467419,-10.151852401449464,-16.948404669273334,-23.438637953896134,-32.52304432025149,-3.383955343418286,-12.117995150758603,-6.708956292755161,-6.88838219428671,-19.260402038543308
0.032,-11.057069959221373,-15.650773077620133,-11.277821574238097,-17.300442079642465,-8.93835629897545,1.4832811091067013,-9.905495120592532,-16.700877467505997,-20.441636895052422,-29.644766489515582,-3.434293392891128,-12.794525587298633,-7.18613010156613,-6.75540202022957,-18.507771250110146
0.034,-9.343835557431422,-13.695275009633127,-9.215946283461998,-15.431918852342676,-7.047529647910771,2.5068227455242056,-8.471875418330628,-15.088070343498774,-18.81013363554572,-27.77585457028688,-2.7720201381228438,-12.34283405589797,-6.238317543439517,-5.553678033650976,-18.823973579224713
0.036000000000000004,-7.640601467798161,-11.74311394281866,-7.13741064337473,-13.54006920229906,-5.153371940610306,3.5486921131028404,-7.0049321558080795,-13.436943142193417,-17.216956568616006,-25.93527309020198,-2.089745622208598,-11.859476085756983,-5.250509093744892,-4.3219570150787225,-19.170175446907248
0.038,-5.937367378168107,-9.790952876007866,-5.058875003291375,-11.648219552259008,-3.259214233313405,4.590561480679514,-5.5379888932882935,-11.785815940891165,-15.623779501689292,-24.09469161012055,-1.4074711062956369,-11.376118115616904,-4.262700644052127,-3.0902359965087878,-19.51637731458913
0.04,-4.234133288534847,-7.838791809193399,-2.9803393632041075,-9.756369902215392,-1.36505652601294,5.632430848258149,-4.071045630765746,-10.134688739585808,-14.030602434759578,-22.254110130035652,-0.7251965903813917,-10.892760145475917,-3.274892194357502,-1.8585149779365349,-19.862579182271663
0.042,-3.333698088703036,-7.171139351248233,-1.9722244208506376,-8.667344498582587,-0.3807160825783803,5.92500620484007,-2.8718034504964054,-8.644315379279835,-13.18663451018693,-21.32336666809604,-0.25683355137023445,-10.141650760153412,-2.5010526454731625,-1.268909029779498,-21.01167259115336
0.044,-2.5460838957037817,-6.684004774403269,-1.114540604382645,-7.691143665263201,0.47576357150166837,6.112279840396524,-1.710182530065628,-7.176533492911023,-12.447956379661946,-20.520486912204827,0.18146752753587148,-9.352913041478947,-1.7572831267392748,-0.7695424549782492,-22.273600027589254
0.046,-1.758469702703045,-6.196870197557388,-0.2568567879130379,-6.71494283194198,1.332243225583329,6.29955347595333,-0.5485616096326633,-5.7087516065394475,-11.709278249135568,-19.717607156312106,0.6197686064428025,-8.564175322802997,-1.0135136080039868,-0.27017588017606076,-23.535527464027524
0.048,-0.9708555097023082,-5.709735620711507,0.6008270285565693,-5.738741998620759,2.1887228796649896,6.486827111510136,0.6130593108003008,-4.240969720167872,-10.970600118609193,-18.91472740041938,1.0580696853497333,-7.775437604127049,-0.26974408926869886,0.22919069462612796,-24.797454900465794
0.05,-0.3739420215976308,-5.556346455876965,0.0762394125993131,-5.906490623707633,1.6629838692104117,5.8637934645855125,1.2979600524491242,-3.488289116502669,-10.708527463667753,-18.493206045044964,0.49561746190825295,-7.844446090545421,-0.5267777939379622,0.34732935539154497,-24.867994658880946
0.052000000000000005,0.16945490111914852,-5.496616662542703,-0.8362566777384889,-6.3952671444514095,0.7493511926911258,5.013362322238439,1.849078243929041,-2.936288235424055,-10.580205169601166,-18.17870575070459,-0.3476773497825607,-8.154164913600656,-1.0646680962611192,0.3584835736985298,-24.60419387770715
0.054,0.7128518238359278,-5.436886869208441,-1.748752768076291,-6.884043665195186,-0.1642814838281601,4.162931179891367,2.400196435408958,-2.3842873543454415,-10.45188287553458,-17.864205456364218,-1.1909721614733746,-8.46388373665589,-1.602558398584276,0.36963779200551455,-24.340393096533358
0.056,1.2562487465516843,-5.377157075874291,-2.6612488584123755,-7.372820185938043,-1.0779141603457263,3.3125000375458953,2.9513146268878376,-1.8322864732678665,-10.323560581468236,-17.549705162024438,-2.034266973162601,-8.77360255971054,-2.1404487009064206,0.38079201031247834,-24.07659231536006
0.058,2.0504386931369023,-4.648619789865236,-3.322989978051295,-7.736248233665966,-1.6571300351290734,2.6292370621018932,3.293305075589754,-1.3222525896000317,-9.735360058002733,-16.73358779619021,-2.7102220020904504,-8.874151091725038,-2.5110419300087155,0.6846451008795809,-22.684134746987162
0.06,2.9599845843861017,-3.61245464832093,-3.8693926561419656,-8.042020405269852,-2.082525977121973,2.0228655468484495,3.539104139254354,-0.8315220444236648,-8.93563177046936,-15.686744271194128,-3.309206633585661,-8.878488668002179,-2.8046844065612286,1.1231293482102784,-20.772534868032835
0.062,3.8695304756335895,-2.5762895067785734,-4.415795334231608,-8.347792576873164,-2.507921919114072,1.4164940315961476,3.784903202918491,-0.3407914992482215,-8.135903482937493,-14.639900746200013,-3.908191265079744,-8.882826244279313,-3.0983268831131894,1.561613595540151,-18.860934989082104
0.064,4.779076366882789,-1.5401243652342664,-4.962198012322278,-8.653564748477052,-2.9333178611069717,0.8101225163427039,4.0307022665830905,0.14993904592814555,-7.33617519540412,-13.593057221203928,-4.507175896574955,-8.887163820556454,-3.391969359665703,2.0000978428708485,-16.949335110127777
