Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,-13.858135496685358,-11.097797377622447,-15.301190864327987,-11.734898525850236,-12.816829886950908,-15.740920194858377,-12.722004514670676,-10.604093918203006,-15.90877229795109,-13.376768518159048,-10.508028966915992,-10.75710748572877,-35.56646691518637,-18.00838803885056,47.127435944716886
0.002,-12.82165605796764,-10.493248968039156,-16.35050025799804,-12.045304832542847,-13.495495023560325,-15.930314641696464,-12.922816005883613,-11.105204103506486,-16.285364006997664,-13.691217775123613,-10.519935887713244,-10.702794900259242,-38.74215153308992,-18.49269791757142,46.48913830716062
0.004,-11.785176619249924,-9.888700558455865,-17.399809651668093,-12.355711139235458,-14.174160160169745,-16.11970908853455,-13.12362749709655,-11.606314288809966,-16.66195571604424,-14.005667032088176,-10.531842808510493,-10.648482314789714,-41.917836150993466,-18.97700779629228,45.85084066960436
0.006,-10.748697180534158,-9.284152148873712,-18.449119045336175,-12.666117445927483,-14.852825296777885,-16.30910353537228,-13.324438988309108,-12.1074244741125,-17.038547425090105,-14.32011628905215,-10.543749729307722,-10.594169729320289,-45.09352076889103,-19.461317675012232,45.2125430320493
0.008,-10.007871707977644,-8.806440598597831,-19.259441559378487,-12.990787534473437,-15.489488804553885,-16.48460868314419,-13.525474313479526,-12.608748728349608,-17.288730559623847,-14.494104272882808,-10.59810377876903,-10.45567856594001,-46.707851879156024,-19.903648719712056,44.63165007747202
0.01,-10.254109005039307,-8.752183342756753,-19.27188858955484,-13.363078320296673,-15.985926748563275,-16.613743372294078,-13.727256924975489,-13.110787667653382,-17.116889260383914,-14.199151842742983,-10.794170726337171,-10.036150955344272,-43.1094881028506,-20.205830302822875,44.2424069292748
0.012,-10.500346302100507,-8.697926086915778,-19.284335619731166,-13.735369106119208,-16.48236469257173,-16.742878061443726,-13.929039536471075,-13.61282660695621,-16.945047961144308,-13.904199412603715,-10.990237673904945,-9.616623344749323,-39.511124326551936,-20.508011885933126,43.853163781078315
0.014,-10.74658359916217,-8.643668831074702,-19.296782649907517,-14.107659891942443,-16.97880263658112,-16.872012750593612,-14.13082214796704,-14.114865546259985,-16.773206661904375,-13.609246982463892,-11.186304621473086,-9.197095734153585,-35.9127605502465,-20.810193469043945,43.4639206328811
0.016,-10.960094611243457,-8.58132810792089,-19.186123915146215,-14.389713240073652,-17.327510184122747,-16.910900226959185,-14.283452319395549,-14.534890976363082,-16.502919896765242,-13.248713760674569,-11.325016210212059,-8.769489906008758,-32.21596413272174,-21.01394124755026,43.10819583936083
0.018000000000000002,-10.963146821174332,-8.467003578818012,-18.28378681413985,-14.09146048083103,-16.726181322080535,-16.36941873350868,-14.119989061167752,-14.427497393985233,-15.599542182175103,-12.466438356328997,-11.0948823854457,-8.289934032514084,-27.886159239725966,-20.584673068988188,42.96802355293392
0.02,-10.96619903110521,-8.352679049714922,-17.381449713131794,-13.793207721587848,-16.12485246003719,-15.827937240057157,-13.956525802939648,-14.320103811607181,-14.696164467583266,-11.684162951981953,-10.86474856067891,-7.8103781590185095,-23.55635434672205,-20.155404890425306,42.82785126650675
0.022,-10.96925124103609,-8.238354520611832,-16.479112612123732,-13.494954962344664,-15.523523597993846,-15.286455746605634,-13.793062544711544,-14.21271022922913,-13.792786752991429,-10.901887547634908,-10.63461473591212,-7.330822285522935,-19.226549453718132,-19.726136711862424,42.687678980079575
0.024,-10.960543543822993,-8.124067642090885,-15.572086218971979,-13.189657244356187,-14.912791437201847,-14.740285906134144,-13.598963869277584,-14.065241834977444,-12.872927788258535,-10.112571379910959,-10.390364963292935,-6.85130554012454,-15.038351046148142,-19.285109571097664,42.54533811854541
0.026000000000000002,-10.659381655827138,-8.010717086479069,-14.548442991779318,-12.70916020855848,-14.068210990628076,-14.07752273568504,-12.643000662207603,-12.921162962951302,-11.543200734041708,-9.14816022792183,-9.795069212512962,-6.372761861569522,-14.371728922955802,-18.55165173905794,42.34906750481311
0.028,-10.358219767831283,-7.897366530867253,-13.524799764586657,-12.228663172760774,-13.223630544054307,-13.414759565235935,-11.687037455137624,-11.777084090925158,-10.213473679824881,-8.183749075932699,-9.199773461732988,-5.894218183014504,-13.705106799763461,-17.818193907018216,42.1527968910808
0.03,-10.057057879835996,-7.784015975255651,-12.501156537395923,-11.74816613696397,-12.379050097482127,-12.751996394788078,-10.731074248069442,-10.633005218901168,-8.883746625610556,-7.219337923945385,-8.604477710954136,-5.415674504460387,-13.038484676572375,-17.084736074979876,41.95652627734886
0.032,-9.755895991840141,-7.670665419643834,-11.477513310203262,-11.267669101166263,-11.534469650908358,-12.089233224338972,-9.775111040999462,-9.488926346875026,-7.55401957139373,-6.254926771956255,-8.009181960174162,-4.937130825905371,-12.371862553380035,-16.35127824294015,41.76025566361655
0.034,-9.570735776979083,-7.673319894029499,-11.26017704267731,-11.305867472356688,-11.093526871979476,-11.714929079668448,-8.704982413812454,-8.575894450518986,-6.800564655572826,-5.866852022267517,-7.990298202563318,-4.977417480249564,-12.39668214946666,-16.079091763290307,41.56864907576461
0.036000000000000004,-9.39262128137322,-7.6830202915594095,-11.091814314218212,-11.3755704082456,-10.677100271224147,-11.358145383258028,-7.627919597860877,-7.6768959045574725,-6.082111404744925,-5.513782840837461,-8.006424604454923,-5.049216894433433,-12.463498590111387,-15.83492202134325,41.377325771904225
0.038,-9.214506785767021,-7.692720689089338,-10.923451585758798,-11.445273344134645,-10.260673670468035,-11.001361686846938,-6.550856781907273,-6.777897358594268,-5.363658153915672,-5.160713659406739,-8.022551006346555,-5.1210163086174365,-12.530315030756242,-15.590752279395732,41.186002468043476
0.04,-9.036392290160823,-7.702421086619266,-10.755088857299382,-11.514976280023689,-9.844247069711923,-10.644577990435849,-5.473793965953669,-5.878898812631063,-4.645204903086419,-4.807644477976018,-8.03867740823819,-5.19281572280144,-12.597131471401097,-15.346582537448214,40.99467916418273
0.042,-8.393925102150934,-7.402830707022923,-10.79413024997391,-11.27530175415459,-9.738707734830903,-10.185100536413417,-4.759363805317138,-5.600936599774205,-4.599456552339879,-4.817215952100725,-8.107387856393105,-5.575599453385954,-12.354675896541954,-15.103260312879831,40.807550223424
0.044,-7.667463732404562,-7.047294435073174,-10.870687823189968,-10.979665656030193,-9.689403072292901,-9.707047378445592,-4.1105282533720375,-5.435310202946972,-4.675390057983745,-4.892383482037191,-8.185609940876457,-6.014635411245558,-12.056277823015273,-14.860091391026563,40.621179977730954
0.046,-6.941002362658189,-6.691758163123425,-10.947245396406029,-10.684029557905797,-9.640098409754899,-9.228994220477768,-3.4616927014269363,-5.2696838061197395,-4.751323563627611,-4.967551011973658,-8.263832025359807,-6.4536713691051615,-11.757879749488593,-14.616922469173295,40.434809732037905
0.048,-6.214540992911815,-6.336221891173676,-11.02380296962209,-10.3883934597814,-9.590793747216894,-8.750941062509945,-2.812857149481835,-5.104057409292507,-4.827257069271479,-5.042718541910125,-8.342054109843158,-6.892707326964765,-11.459481675961912,-14.373753547320025,40.24843948634486
0.05,-5.5346526937484875,-5.889759759314776,-10.59678613176401,-9.635096447109877,-9.588003099425082,-8.50265806742789,-2.4855790138577425,-4.984966024583302,-5.041376745928649,-4.889462897028782,-8.237741544632408,-7.149178906653995,-11.024340608281047,-13.810510358168052,39.79079467631451
0.052000000000000005,-4.8702138269421305,-5.413135284608673,-10.002721283025346,-8.729982058987774,-9.600642293719154,-8.330595483520709,-2.2649693776615503,-4.881311447304083,-5.30133617236552,-4.660433670024989,-8.072877749101833,-7.345089394357948,-10.543838528059869,-13.141090666575005,39.243161424896385
0.054,-4.205774960135773,-4.936510809902569,-9.408656434286684,-7.8248676708656735,-9.613281488013229,-8.158532899613528,-2.0443597414653576,-4.777656870024864,-5.561295598802392,-4.4314044430211945,-7.908013953571259,-7.540999882061901,-10.06333644783869,-12.471670974981958,38.695528173478266
0.056,-3.5413360933306652,-4.459886335197363,-8.814591585549138,-6.919753282745276,-9.625920682307278,-7.986470315706671,-1.8237501052695801,-4.67400229274584,-5.821255025238774,-4.202375216017832,-7.743150158040995,-7.736910369765486,-9.582834367618416,-11.80225128339017,38.14789492206117
0.058,-3.797044277936696,-4.783471725613483,-8.5408634019624,-6.614895370954254,-9.799069118372211,-8.254700374161821,-2.043535173234934,-4.8108290448092905,-5.9618819914847405,-4.173883884542162,-7.698914814147159,-8.013446180258173,-9.66268552966671,-11.533272563106559,37.6434848426067
0.06,-4.537433388180231,-5.528561980427497,-8.435870282127858,-6.626218295825682,-10.056764657810957,-8.754851455592588,-2.4952950245039287,-5.074327629516701,-6.039651431669901,-4.251024465575232,-7.718219650605767,-8.332450807033089,-10.037698783176648,-11.475223281046464,37.16184226206903
0.062,-5.277822498422372,-6.273652235240109,-8.330877162293515,-6.637541220697089,-10.314460197249218,-9.255002537022413,-2.9470548757720736,-5.3378262142236155,-6.1174208718549155,-4.328165046608157,-7.737524487064338,-8.651455433807406,-10.412712036685878,-11.41717399898648,36.68019968153227
0.064,-6.018211608665908,-7.018742490054125,-8.225884042458972,-6.648864145568517,-10.572155736687964,-9.75515361845318,-3.398814727041069,-5.601324798931025,-6.195190312040076,-4.405305627641226,-7.756829323522946,-8.970460060582322,-10.787725290195816,-11.359124716926384,36.198557100994606
0.066,-6.929775795829492,-8.207994161306118,-8.428442283476237,-7.138420857082434,-10.591495705146441,-10.016895465386593,-3.680496145987134,-5.762974031379967,-6.239350912959639,-4.7901133673951595,-7.606107192989931,-9.187664745414118,-10.617320770851736,-11.301639111996467,36.026795631214874
0.068,-7.976341934320207,-9.7475459989295,-8.873559398108982,-8.005149850622644,-10.422849970479025,-10.090609285979017,-3.828040512648645,-5.844296959650021,-6.257004974700683,-5.417571307951363,-7.321288599727902,-9.324582094876565,-10.016757463502193,-11.244598066601037,36.099430456649706
0.07,-9.022908072812891,-11.287097836555777,-9.318676512742567,-8.871878844164485,-10.254204235811292,-10.164323106571581,-3.9755848793104334,-5.925619887920227,-6.2746590364417605,-6.045029248508747,-7.036470006465336,-9.461499444339267,-9.41619415615152,-11.187557021205503,36.172065282084674
0.07200000000000001,-10.069474211305575,-12.826649674182056,-9.763793627376149,-9.738607837706324,-10.08555850114356,-10.238036927164146,-4.123129245972222,-6.006942816190434,-6.292313098182837,-6.672487189066132,-6.7516514132027705,-9.59841679380197,-8.815630848800845,-11.130515975809967,36.24470010751964
0.074,-10.664193523775987,-13.99915845119249,-10.124465977457485,-10.520946188114563,-9.719451519103167,-10.199053733512704,-4.186311722589631,-5.9190812400223,-6.621356942911656,-7.385212180298439,-6.608669038307712,-9.70753805809841,-8.187263694407932,-11.158750404585996,36.291354583882324
0.076,-10.735175930973705,-14.746226601874348,-10.387258167481134,-11.205467110752814,-9.124466659305384,-10.029443119074505,-4.15171009921934,-5.63511743701052,-7.311333546010348,-8.196770445710984,-6.630089416260137,-9.784440803230513,-7.526669024035783,-11.285827871237725,36.30789516580696
0.078,-10.806158338171425,-15.493294752556206,-10.650050357504783,-11.889988033391063,-8.5294817995076,-9.859832504636309,-4.117108475849049,-5.3511536339987416,-8.00131014910904,-9.008328711123527,-6.651509794212562,-9.861343548362617,-6.8660743536636355,-11.412905337889455,36.3244357477316
0.08,-10.877140745369012,-16.24036290323666,-10.912842547527937,-12.574508956028026,-7.934496939710936,-9.69022189019843,-4.082506852478824,-5.0671898309874965,-8.691286752206434,-9.819886976534542,-6.672930172164947,-9.938246293494577,-6.2054796832927295,-11.539982804540944,36.34097632965621
0.082,-10.791586557408564,-16.60674105450456,-11.131093310560331,-13.124872798934849,-7.54158312500177,-9.632988532801026,-4.182746981360126,-4.940471623592497,-9.224697843669325,-10.362830542803724,-6.717152831961552,-9.925864345580061,-6.172871122484541,-12.070899501775491,36.31449802485591
0.084,-10.43631569660866,-16.317180318629543,-11.272598022744583,-13.444080463016796,-7.496843038636607,-9.769384146579611,-4.5153229978362415,-5.084691715485047,-9.48834243844083,-10.442943913644703,-6.800664423435413,-9.759642521950258,-7.22229915439671,-13.297641820646877,36.213897046153164
0.08600000000000001,-10.081044835809422,-16.02761958275507,-11.414102734928568,-13.763288127098141,-7.452102952271527,-9.905779760357941,-4.84789901431173,-5.228911807377324,-9.75198703321184,-10.523057284485528,-6.884176014909118,-9.593420698320768,-8.271727186306903,-14.524384139515954,36.11329606745061
0.088,-9.725773975009517,-15.738058846880048,-11.55560744711282,-14.082495791180087,-7.4073628659063635,-10.042175374136527,-5.1804750307878455,-5.373131899269874,-10.015631627983344,-10.603170655326505,-6.967687606382979,-9.427198874690966,-9.32115521821907,-15.75112645838734,36.01269508874787
0.09,-9.387335955971952,-15.3162826842812,-11.58140194076327,-14.219784562596995,-7.362871919301503,-9.99662992925703,-5.364265669721989,-5.451361277831789,-10.014558716579955,-10.551069229003197,-6.869319234704579,-9.062527794999228,-10.271492066893837,-16.746295807155796,35.91342823815555
