Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,-1.721428857048685,-2.6228664321584687,-2.5447356164434627,0.17813025115751624,-3.552619623678501,-1.8187487657181693,-3.887040289778788,-3.1720622298792778,-1.1589871374698832,3.093465901955963,1.7528226789655463,3.787648831006721,7.542468238705171,7.53287199486938,-25.175368900592538
0.002,-1.9183135268544056,-3.1268998509119146,-2.988402444680818,-0.13892905447849324,-4.1747122284460385,-2.377107895091406,-3.9639978017978788,-3.245543086168986,-1.479345452067113,2.7698362257316127,1.9778697629106492,3.765746212139833,7.448031584141883,7.317837065894217,-26.36022751327758
0.004,-2.115198196660126,-3.630933269665361,-3.432069272918173,-0.4559883601145027,-4.796804833213576,-2.935467024464642,-4.04095531381697,-3.3190239424586934,-1.7997037666643427,2.446206549507263,2.202916846855752,3.743843593272944,7.353594929578595,7.102802136919055,-27.54508612596262
0.006,-2.3120828664657536,-4.13496668841857,-3.8757361011553195,-0.7730476657503629,-5.418897437980821,-3.493826153837616,-4.117912825836025,-3.3925047987483663,-2.1200620812614215,2.122576873283065,2.427963930800749,3.721940974406066,7.25915827501535,6.887767207943994,-28.729944738647106
0.008,-1.9463451687672355,-4.07634505391008,-4.231641424683022,-1.0886094476907544,-5.823712278576544,-3.8781324379234507,-4.4092733005945615,-3.593988331257614,-2.1799797985253666,1.8436638130038678,2.4386678013132115,3.701590242559494,6.907327075142983,6.631117897528514,-28.93214739361312
0.01,-1.347639138504873,-3.7847415524549883,-4.5512068289391205,-1.403551141240614,-6.138557645248131,-4.1903676429221335,-4.789412863443263,-3.848474680158358,-2.1320553552264188,1.5832668232834215,2.360617324480246,3.681882109643097,6.448915011275311,6.357237076930045,-28.727455951977117
0.012,-0.7489331082427919,-3.4931380510000345,-4.870772233195069,-1.7184928347903254,-6.45340301191957,-4.502602847920669,-5.169552426291787,-4.1029610290589815,-2.084130911927493,1.3228698335630975,2.2825668476473173,3.6621739767267094,5.9905029474078555,6.083356256331705,-28.522764510341204
0.014,-0.15022707798042934,-3.2015345495449434,-5.190337637451169,-2.0334345283401847,-6.7682483785911565,-4.814838052919352,-5.54969198914049,-4.357447377959725,-2.0362064686285453,1.0624728438426514,2.2045163708143516,3.6424658438103124,5.532090883540183,5.809475435733236,-28.3180730687052
0.016,0.3751572969205833,-2.647443344533615,-5.1728793284887935,-2.1232271754007233,-6.410267373562196,-4.640845507399725,-5.965915881604023,-4.6106469691284735,-1.7631642519897888,0.9899654412150811,2.1277417217790826,3.7733375816041796,5.709307688536439,6.059263800207824,-27.71172418639021
0.018000000000000002,0.8539114174829026,-1.926418260067421,-4.941084594796046,-2.069832148231624,-5.624390071274566,-4.157627487341443,-6.405088266695897,-4.863028223067547,-1.3469542498557818,1.0369498748057537,2.0517784588808032,3.9999733557507597,6.29076435519301,6.642089207678941,-26.84993387243452
0.02,1.332665538045447,-1.2053931756008878,-4.70928986110319,-2.0164371210625,-4.838512768986567,-3.674409467282934,-6.844260651787977,-5.115409477006738,-0.930744247721579,1.0839343083964483,1.9758151959824883,4.226609129897446,6.872221021849855,7.224914615150332,-25.988143558478427
0.022,1.8114196586079916,-0.48436809113435464,-4.477495127410333,-1.9630420938933757,-4.0526354666985664,-3.191191447224425,-7.283433036880056,-5.367790730945929,-0.5145342455873763,1.1309187419871432,1.8998519330841732,4.453244904044133,7.4536776885066995,7.807740022621723,-25.12635324452233
0.024,2.0081765238660445,0.04904708211390049,-3.9615598149524893,-1.8141916345220779,-3.3600557365868218,-2.7698617327320685,-7.375570718713482,-5.430359196230282,-0.38034941718375526,1.0532193427186094,1.9822383368178427,4.618105849337949,8.19357009443819,8.454609437747228,-25.78175857514743
0.026000000000000002,1.9397264064052075,0.4060227420460155,-3.1784018109801506,-1.5755692121892875,-2.7552185895907484,-2.4067354598551685,-7.1413363355047315,-5.3144164313033935,-0.5113978276465498,0.8582598549761802,2.213546180430917,4.724870073263425,9.082464888078677,9.16170964488077,-27.864024882340978
0.028,1.8712762889443386,0.7629984019782985,-2.395243807007443,-1.336946789856385,-2.150381442594391,-2.043609186978098,-6.9071019522958705,-5.19847366637645,-0.642446238109406,0.6633003672336593,2.4448540240441,4.831634297188952,9.971359681719582,9.868809852014643,-29.946291189535504
0.03,1.8028261714834697,1.1199740619105816,-1.6120858030347356,-1.0983243675234822,-1.5455442955980327,-1.6804829141010276,-6.6728675690870105,-5.082530901449506,-0.7734946485722622,0.46834087949113834,2.676161867657283,4.938398521114478,10.860254475360486,10.575910059148516,-32.02855749673003
0.032,1.8632682214395309,1.426659563121402,-0.5976713001289317,-0.4492109237751205,-0.8886387049510394,-1.2141249257151685,-5.95138719237981,-4.607302454670071,-0.6732730510818126,0.6583081805438662,3.1899484563369276,5.225288150729592,11.75009773799964,11.335136073639582,-34.96163268527322
0.034,2.1021249478372153,1.6637325923236148,0.7368522851141934,0.768111001805913,-0.15965911079389694,-0.6048718841217915,-4.555452828128477,-3.6347448065706436,-0.25292367184518016,1.3810975285288103,4.094746810221039,5.761510355155856,12.641253887162136,12.166515495435183,-39.07241164218293
