Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,-13.106824830988788,-11.47441134729452,-20.09644579200643,-14.033590818746195,-18.686300765082407,-18.234046807454057,-12.600608239178227,-14.332038888592702,-14.613881055180922,-16.850529620674468,-12.932603144128619,-12.567354432305939,-9.837031461819326,-13.236351001761689,120.18156891544074
0.002,-12.859757973999809,-11.528753328178196,-19.542232545319614,-13.419864629678893,-18.321130556977426,-18.48425535870386,-12.79399962550464,-14.085951681370512,-13.992900995561996,-16.342074778522292,-12.677331235609971,-12.126227760332092,-8.659113844549154,-11.99484234371253,120.52472938004054
0.004,-12.612691117010831,-11.583095309061871,-18.9880192986328,-12.80613844061159,-17.95596034887244,-18.73446390995366,-12.987391011831052,-13.839864474148321,-13.37192093594307,-15.833619936370116,-12.422059327091322,-11.685101088358246,-7.481196227278984,-10.753333685663373,120.86788984464036
0.006,-12.365624260022317,-11.637437289945444,-18.433806051947027,-12.192412251545443,-17.590790140768146,-18.984672461202994,-13.180782398157099,-13.593777266926594,-12.750940876325314,-15.325165094218896,-12.166787418573154,-11.24397441638523,-6.303278610011031,-9.51182502761655,121.21105030923952
0.008,-12.119482407190738,-11.313020939980266,-17.98899754079674,-12.067763726675114,-17.552028539930223,-19.56131011597951,-13.320860458497776,-13.45711567006388,-12.076657162933254,-14.763483447703441,-12.455180816056505,-11.292366514855424,-6.374563030010131,-9.573752658858703,120.58032056950202
0.01,-11.873456211307351,-10.941246929730342,-17.55786833879186,-12.00426652703633,-17.554079105262552,-20.17876249965512,-13.454272541683514,-13.334135992408703,-11.395708681741455,-14.195146642175565,-12.811550848700701,-11.401965091825346,-6.6020401483333115,-9.798654112624373,119.82782146472302
0.012,-11.627430015424428,-10.56947291948112,-17.12673913678779,-11.940769327397668,-17.556129670594878,-20.796214883329572,-13.587684624868999,-13.211156314753755,-10.714760200550938,-13.626809836648757,-13.167920881344228,-11.511563668795063,-6.829517266656064,-10.02355556638962,119.07532235994543
0.014,-11.381403819541042,-10.197698909231198,-16.695609934782915,-11.877272127758886,-17.558180235927203,-21.413667267005184,-13.721096708054734,-13.088176637098575,-10.03381171935914,-13.058473031120881,-13.524290913988425,-11.621162245764985,-7.056994384979246,-10.24845702015529,118.32282325516643
0.016,-11.523422747274287,-10.456042166097578,-17.13648929704201,-12.540500782710847,-17.996643120108534,-22.080360705000068,-14.678149075728307,-14.127613451162272,-10.031322595609868,-12.926673533963092,-13.688111096870662,-11.780297595636112,-8.108512633256298,-11.394179737585256,117.13735440783492
0.018000000000000002,-11.766768509539428,-10.878922442436576,-17.80506864088566,-13.393493013948914,-18.54906254214647,-22.759912029511366,-15.85027143846275,-15.470581932923103,-10.205993639234057,-12.908863212085151,-13.80165241892274,-11.95236805043555,-9.375205545870212,-12.780348470536739,115.83882795253427
0.02,-12.01011427180503,-11.30180271877637,-18.47364798473057,-14.246485245188587,-19.101481964185446,-23.439463354023943,-17.0223938011994,-16.813550414686464,-10.380664682858576,-12.89105289020718,-13.915193740975033,-12.124438505235313,-10.64189845848651,-14.16651720349083,114.54030149723118
0.022,-12.25346003407063,-11.724682995116163,-19.14222732857548,-15.099477476428259,-19.653901386224423,-24.119014678536523,-18.19451616393605,-18.15651889644982,-10.555335726483095,-12.873242568329207,-14.028735063027325,-12.296508960035077,-11.908591371102808,-15.55268593644492,113.2417750419281
