Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,0.38689497453079014,1.9829426949647866,2.9368772041546176,7.607423532521742,4.966273933089691,8.521919053250546,7.395568463442619,8.621172760446703,9.915670426724033,9.907264124503497,2.8559105371697466,0.5979131044446331,3.4225810109422703,0.742491469637923,27.187264371117106
0.002,-0.40022808247866437,1.321185847144679,2.7667576182552365,7.251644415936,4.484489555060619,8.345355464717384,6.682643573876682,8.33381651776375,8.650588888370152,9.132901211915524,2.440010067795457,0.4913786005244485,3.9227764212828697,0.9368146021471064,26.45508498492164
0.004,-1.1873511394881189,0.659428999324571,2.596638032355855,6.895865299350258,4.0027051770315465,8.168791876184223,5.9697186843107435,8.0464602750808,7.385507350016271,8.358538299327549,2.024109598421167,0.3848440966042638,4.422971831623469,1.1311377346562896,25.722905598726175
0.006,-1.9744741964960917,-0.0023278484942910183,2.426518446456794,6.540086182765185,3.520920799003381,7.992228287651393,5.256793794746148,7.759104032398389,6.120425811664771,7.584175386741034,1.6082091290476601,0.2783095926842797,4.923167241963127,1.3254608671651074,24.990726212532085
0.008,-3.0082060729248288,-0.762687876937092,1.9110607605372902,5.863690820066516,2.7431659385303453,7.297647492802123,4.247870016672624,7.052369131490982,4.6333732023657,6.587862420669689,0.9456951343117406,-0.22288304898401107,4.707926412623595,1.0017239245192742,24.159705296709596
0.01,-4.405439054366397,-1.6683888757414995,0.8865751280263081,4.714707493881565,1.5291509407560349,5.839509955112202,2.802644230794003,5.7274705897114995,2.819135499851144,5.2643953410964555,-0.08032690199040493,-1.305801313894654,3.438133421271572,-0.0856329495845114,23.182992084378057
0.012,-5.802672035805335,-2.5740898745442022,-0.13791050448274556,3.565724167698776,0.3151359429840097,4.381372417425027,1.357418444918102,4.402572047934511,1.0048977973400035,3.940928261525713,-1.106348938290619,-2.3887195788032587,2.1683404299219387,-1.1729898236862502,22.206278872048355
0.014,-7.199905017246904,-3.47979087334861,-1.1623961369937277,2.4167408415138247,-0.8988790547903012,2.923234879735107,-0.08780734096051912,3.077673506155028,-0.8093399051745518,2.6174611819524802,-2.1323709745927646,-3.4716378437139017,0.8985474385699153,-2.2603466977900357,21.229565659716812
0.016,-8.446526429407704,-4.216080335642048,-2.2809222203933848,1.1925723802702537,-2.1128311416797705,1.427522316390181,-1.4953602134233734,1.6775292418422247,-2.378909330261823,1.3505103118282706,-3.0830528983628427,-4.403962680633642,-0.4841264584253029,-3.4793955767213127,20.497356701036374
0.018000000000000002,-9.35521608384837,-4.572255982081746,-3.610449722985641,-0.2002912546946527,-3.326642073501676,-0.15249847457696708,-2.8183852245131975,0.10855386184911708,-3.399509101529883,0.21036657936432612,-3.8646919207378403,-4.998396463997538,-2.1200746758366242,-4.993925811307458,20.313749371039396
