5,6,3,2,7,2,0,3,5,3,4,-2,1,1,5,5,114,
30,29,28,29,30,26,23,27,24,23,29,24,27,25,25,29,114,
19,20,20,18,16,17,13,18,10,15,18,14,11,15,14,15,114,
25,26,27,25,21,23,20,25,14,21,25,20,22,23,23,26,114,
21,26,29,24,18,24,23,28,13,24,30,25,17,23,26,26,114,
12,15,18,18,7,13,14,20,3,15,21,19,1,12,18,19,114,
-1,7,14,7,-3,5,7,15,-6,7,12,11,-8,3,8,8,115,
15,19,23,23,14,18,20,26,9,21,26,25,10,19,23,25,115,
8,18,23,15,12,16,18,23,10,22,24,22,16,20,15,17,115,
20,22,26,25,15,20,25,28,14,24,25,24,18,24,22,25,115,
7,13,17,9,4,12,14,20,7,15,16,16,2,5,13,15,115,
-5,-4,-1,-3,-9,-4,-5,1,-9,-2,-2,-1,-2,-1,2,5,115,
18,24,29,25,18,26,22,27,17,25,28,27,26,25,26,27,116,
22,23,29,31,25,25,27,29,21,25,29,29,34,33,33,32,116,
6,10,18,14,13,17,17,20,9,15,17,17,15,17,6,10,116,
12,14,21,21,17,19,19,23,12,16,20,21,20,30,19,22,116,
21,27,37,29,27,34,29,33,25,32,35,34,31,34,25,28,116,
9,8,14,14,11,12,8,9,9,12,16,11,19,24,15,13,116,
12,17,20,14,14,17,12,14,11,19,20,16,20,23,13,14,117,
24,21,24,27,24,20,18,20,13,21,23,18,31,36,27,26,117,
11,14,18,13,17,18,13,17,8,19,19,13,11,20,13,15,117,
-3,-4,3,7,2,1,1,3,-5,3,6,-1,7,9,9,8,117,
5,8,13,9,10,14,12,15,6,15,16,9,16,16,10,12,117,
13,9,11,14,11,10,12,14,3,11,14,9,20,20,22,20,117,
23,25,27,23,25,27,28,30,21,29,30,24,32,25,23,26,118,
26,24,28,30,26,24,28,31,19,27,30,24,34,34,33,33,118,
32,32,36,32,33,36,38,39,26,36,40,34,33,29,32,36,118,
12,7,8,16,11,10,13,15,1,9,14,9,15,20,21,19,118,
2,4,6,2,2,6,7,10,-5,5,13,5,3,1,8,12,118,
6,1,2,4,2,1,5,8,-6,3,8,2,7,12,9,13,118,
19,19,19,15,18,21,20,23,15,24,25,18,26,22,17,23,119,
-1,-6,-7,-3,-7,-8,-9,-6,-13,-5,-3,-9,3,6,1,0,119,
7,9,8,7,6,6,5,8,3,9,14,8,4,-1,12,16,119,
3,-3,-5,-1,-3,-6,-8,-6,-9,-4,2,-4,-2,1,7,6,119,
21,22,20,16,20,20,14,17,13,18,25,18,15,9,18,23,119,
-3,-5,-9,-5,-7,-9,-13,-10,-17,-10,-6,-13,-2,0,-4,-5,119,
7,11,7,4,8,8,4,7,-2,5,10,4,12,11,0,3,120,
