-11,-6,7,-3,-13,5,-29,-15,-14,-7,0,3,-9,-12,-6,5,233,
-33,-33,-48,-18,-10,-4,-1,-27,-38,-2,-21,-18,-59,-25,-31,-17,233,
-16,-20,-4,10,54,-8,-23,-14,-25,-6,-14,-7,-14,-16,-22,-7,233,
-40,-42,-39,4,66,-40,-20,-35,-40,-44,-30,-26,-33,-37,-39,-24,233,
-8,-10,9,13,-37,-22,-1,4,-8,-15,7,8,-7,-11,-4,2,233,
-30,-31,-57,18,-32,2,-4,-25,-32,-5,-27,-27,-32,-32,-29,-18,233,
13,12,-5,23,-11,24,-8,9,1,19,6,4,7,3,9,12,234,
-9,-11,-23,17,1,5,-14,-6,-18,-37,-4,-10,-9,-10,-8,5,234,
31,19,-36,68,16,53,13,24,6,28,17,13,20,20,13,27,234,
-15,-21,-41,-4,-29,-14,-15,-20,-29,17,-17,-25,-17,-17,-22,-7,234,
34,21,2,47,-1,50,11,26,19,31,31,23,33,36,23,27,234,
-1,-11,2,3,13,-29,-22,-8,-1,-24,-6,-7,4,2,-9,20,234,
11,2,2,7,37,19,38,7,9,-1,7,4,10,9,7,28,235,
-26,-33,-50,-16,-45,-14,-44,-24,-23,-30,-21,-22,-42,-12,-28,8,235,
11,9,2,18,-9,24,-13,16,9,-8,10,9,24,20,8,30,235,
-43,-44,-37,-49,147,2,-13,-39,-40,-47,-51,-49,-41,-42,-54,-12,235,
2,2,-14,48,-37,16,-4,10,-9,11,-3,-7,10,3,-15,15,235,
-34,-35,-34,2,-53,-64,-39,-25,-43,-35,-32,-34,-39,-38,-37,2,235,
23,25,-16,46,6,-9,34,32,12,-14,23,21,29,21,26,48,236,
-26,-26,-40,-8,6,-16,-16,-22,-39,-26,-22,-24,-18,-17,-23,15,236,
24,23,14,27,17,16,-7,11,9,-7,13,4,23,18,7,23,236,
-13,-13,-4,-29,13,3,-46,-15,-21,-11,-14,-21,-10,-11,-24,8,236,
17,14,9,12,-16,46,22,14,10,15,18,12,10,12,11,25,236,
-31,-34,-37,9,-52,-31,-62,-34,-20,7,-32,-39,-31,-31,-27,-12,236,
25,25,-18,38,18,18,4,25,24,-5,16,16,23,18,28,21,237,
-11,-14,-42,14,-71,-14,-50,-15,6,-16,-15,-12,-17,-14,-9,2,237,
45,44,-10,51,21,39,14,37,48,24,32,23,27,27,46,29,237,
-19,-14,7,-13,-59,-29,-27,-22,-12,-1,-22,-28,-27,-29,-13,-10,237,
25,21,0,32,19,-10,-19,19,31,50,20,10,-1,17,26,9,237,
-8,-8,-36,15,11,-5,6,-9,2,-3,-4,-9,-9,-12,0,7,237,
26,26,61,42,14,-34,25,25,23,44,22,8,18,19,19,8,238,
-13,-13,-48,4,-113,-7,-21,-14,-15,-29,-7,-11,-15,-10,-9,-4,238,
14,7,58,25,13,0,12,8,16,-7,5,4,10,10,5,-2,238,
-37,-31,-16,33,147,-51,-32,-29,-32,-27,-28,-21,-26,-27,-24,-17,238,
-5,-4,27,-5,15,-14,12,0,-4,-25,-7,-9,-2,-4,-2,-6,238,
-41,-32,-26,-8,108,-58,-16,-30,-19,-30,-29,-28,-32,-35,-25,-18,238,
-5,-5,-15,-12,-14,1,-3,0,-4,-7,-1,-3,-8,-12,8,1,239,
-43,-39,-56,-37,-33,-28,-24,-40,-40,-27,-34,-30,-67,-56,-36,-24,239,
-5,-4,0,-19,-92,-9,-48,-13,-15,-19,-21,-22,-54,-21,-14,-19,239,
-25,-25,-38,-29,126,-25,-3,-34,-34,-17,-38,-34,-51,-40,-32,-24,239,
-13,-13,-8,-17,59,-22,-36,-13,-5,-28,-9,-11,-23,-15,-2,-18,239,
-28,-23,-45,-38,32,-32,-4,-29,-21,-34,-21,-17,-22,-24,-16,-14,239,
-3,-2,-4,-16,103,-26,-51,-7,5,3,-9,-14,-16,-19,-6,-19,240,
-11,-11,-47,-10,4,-19,25,-7,-3,23,4,7,-5,-12,7,2,240,
7,6,-29,-9,-40,-42,12,5,11,-5,3,0,3,-5,14,0,240,
-6,-9,-34,7,-64,-8,-57,-6,5,-35,-7,-2,-19,-21,3,0,240,
-13,-18,-22,5,-43,-35,-38,-8,-8,1,-15,-16,-19,-23,-4,-14,240,
-19,-25,-32,22,-17,-18,-20,-21,-22,-24,-19,-14,-22,-24,-9,-10,240,
-27,-32,-32,-24,-102,-40,-24,-25,-21,-26,-22,-24,-29,-32,-17,-24,241,
-30,-34,-14,2,156,-4,-40,-28,-24,-3,-20,-16,-26,-28,-12,-17,241,
-36,-34,-45,-15,100,-14,-35,-36,-24,-41,-28,-30,-21,-26,-22,-29,241,
-33,-28,-43,21,65,-31,-67,-28,-22,7,-22,-18,-14,-17,-14,-22,241,
-23,-26,-13,-4,166,-15,-12,-23,-19,-1,-19,-19,-14,-21,-17,-29,241,
-10,-7,-52,12,13,17,-13,-10,-3,6,-6,-5,-1,-6,-2,-11,241,
-25,-25,-43,-37,-139,-11,-64,-22,-21,-21,-25,-30,-11,-17,-21,-26,242,
-15,-15,-31,25,-54,5,-5,-13,-15,-19,-12,-14,-5,-10,-4,-14,242,
