A1,A2,V1,V2,V3,V4,V5,V6
0.4853326,0.47724035,0.50096035,0.48898417,0.45945668,0.45565525,0.4726753,0.47289842
0.48606366,0.47589123,0.5027116,0.48709536,0.46042377,0.45612028,0.47294584,0.4718509
0.48813167,0.47003332,0.4977732,0.48917487,0.4530059,0.45308098,0.47489667,0.4680555
0.4832623,0.47210646,0.49989647,0.48396143,0.45890006,0.45793295,0.47208184,0.46620488
0.48289844,0.47212523,0.49856794,0.48766226,0.45436004,0.45177892,0.4670518,0.4692471
0.48242337,0.47313064,0.49995667,0.48757744,0.45913824,0.4565843,0.47276193,0.47044688
0.48752064,0.47312948,0.49578372,0.4822336,0.45495823,0.4535285,0.4688343,0.47172755
0.48585424,0.4721732,0.4951654,0.4836951,0.45814985,0.45342487,0.4688825,0.46937594
0.48205224,0.4732862,0.4958928,0.48663056,0.45478415,0.45715773,0.4728022,0.4716007
0.4838882,0.47535852,0.49561173,0.481999,0.45621753,0.45707405,0.46984985,0.4671941
0.48468536,0.4699673,0.49585122,0.48504943,0.45549732,0.45541424,0.47101796,0.4697387
0.48282775,0.47495943,0.4945582,0.48185876,0.4586452,0.45697087,0.46948242,0.46738237
0.4824364,0.47029924,0.49504864,0.48388222,0.45538843,0.45514154,0.4721498,0.4699061
0.48065272,0.47202516,0.49486607,0.48433852,0.4582879,0.45469213,0.4690575,0.46793574
0.4824057,0.4723902,0.49489063,0.48449576,0.45476815,0.45331982,0.47199517,0.47026432
0.48264658,0.475494,0.49616036,0.48489347,0.4548803,0.45542985,0.46875912,0.4681758
0.4822722,0.4711185,0.49870485,0.48532513,0.45496875,0.45248598,0.4703255,0.4705128
0.4822229,0.47383118,0.49470162,0.48279235,0.45672548,0.4537456,0.46811077,0.46725348
0.4861467,0.47231603,0.49608555,0.48608744,0.4549285,0.45327705,0.4712388,0.47168803
0.48376074,0.47407246,0.49655795,0.48842537,0.45679003,0.45262513,0.46954373,0.46754023
0.48624337,0.4721027,0.4986381,0.48695633,0.4554584,0.4551799,0.4728805,0.46959645
0.48446503,0.47217247,0.496885,0.4859094,0.45933598,0.45667574,0.46864212,0.4691735
0.48511654,0.47332454,0.4959717,0.48560512,0.4542792,0.4540851,0.4725911,0.47308457
0.4807386,0.47566903,0.49783668,0.48434505,0.4594596,0.45891616,0.47125965,0.46778566
0.48437303,0.47266334,0.49634695,0.48372406,0.4570899,0.45546508,0.4727458,0.47168916
0.4833063,0.4736181,0.49476123,0.48251706,0.46001738,0.45732063,0.47052512,0.46955827
0.48506206,0.47345987,0.4942053,0.48262668,0.45339984,0.45497954,0.472771,0.4719541
0.48366326,0.47303548,0.49489743,0.48430714,0.45694,0.4560154,0.47104898,0.4685738
0.48544592,0.47362876,0.49617973,0.48496586,0.45577392,0.4562778,0.47387135,0.4700837
0.48319054,0.47523275,0.49573907,0.4831288,0.45773175,0.45655745,0.4704471,0.46890733
0.48499176,0.47157738,0.49584523,0.48496234,0.4537719,0.45512646,0.47101244,0.47150433
