A1,A2,V1,V2,V3,V4,V5,V6
0.48307332,0.47141442,0.5047213,0.49135858,0.4652408,0.4564668,0.4691851,0.47086078
0.4837379,0.46976238,0.504655,0.4901902,0.466576,0.45460215,0.4676082,0.46959582
0.48454714,0.46740156,0.50184774,0.49206215,0.46283716,0.45586842,0.4692036,0.46784848
0.48105708,0.46850008,0.5030808,0.48997056,0.4685289,0.45701972,0.4692325,0.46826196
0.48155582,0.46913636,0.50189686,0.4908319,0.4643284,0.45731294,0.46343333,0.4699295
0.48091257,0.4681012,0.5033914,0.49120307,0.4678343,0.45670593,0.46857873,0.46987838
0.48462856,0.46982038,0.50198144,0.48748955,0.46343192,0.4579317,0.46614867,0.47108442
0.48241666,0.469905,0.5004184,0.48770303,0.4657851,0.45642963,0.46541348,0.46991268
0.4803854,0.47085077,0.5010583,0.48928624,0.4638804,0.45659447,0.4666106,0.46927613
0.48064163,0.47061074,0.50035644,0.4877468,0.4659694,0.45634475,0.46680236,0.4668287
0.48180613,0.46785474,0.50077707,0.48871204,0.4647624,0.4576813,0.46597728,0.47014314
0.47998637,0.4700547,0.5012654,0.48729,0.46652192,0.45622987,0.46624523,0.4671275
0.4822016,0.46734172,0.4999161,0.48789248,0.46465394,0.45732558,0.46691486,0.4699288
0.47869238,0.46870178,0.4996823,0.4882873,0.4655512,0.45637777,0.46614826,0.4680931
0.48214364,0.4686978,0.5004001,0.48804706,0.46434677,0.45570767,0.46830356,0.4699962
0.48004502,0.47028294,0.50115615,0.48786643,0.46526867,0.45624852,0.46639413,0.469213
0.48068708,0.46836388,0.5021112,0.48893914,0.46441457,0.45357725,0.46573043,0.46919635
0.48073903,0.46944696,0.50183415,0.48852223,0.46570784,0.4544717,0.46708485,0.4678197
0.4843816,0.46920317,0.5012759,0.49078858,0.46465027,0.45575815,0.46728623,0.47061682
0.4805776,0.46893567,0.5008725,0.4914009,0.46562597,0.45559233,0.46641442,0.46802205
0.4838588,0.46895897,0.50165045,0.4909339,0.4653905,0.4557645,0.46746257,0.47006363
0.48152432,0.46815252,0.50245136,0.48928,0.46741295,0.45788944,0.46712488,0.468715
0.48265982,0.46876907,0.50028914,0.4895113,0.46226096,0.4560421,0.46762714,0.47052395
0.47895443,0.46988893,0.5014217,0.4888164,0.4676033,0.4580665,0.4673406,0.4687729
0.482154,0.46929812,0.5011491,0.48747903,0.46522412,0.45634586,0.46733534,0.47035465
0.47996265,0.46843612,0.5007157,0.4876196,0.4677794,0.4576036,0.4672674,0.46865284
0.4817709,0.4686234,0.49948773,0.4872095,0.46194392,0.45618036,0.46764767,0.46949148
0.48008454,0.4692275,0.50046486,0.48964715,0.46512347,0.45648152,0.4669774,0.46799052
