Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,-8.742148926824013,-4.847709998072755,-10.804740084786072,-11.880046555923402,-5.734916482601811,-7.037264487573634,-11.651652129832977,-14.356275121905805,-4.843969361626456,-6.44196710306257,-7.455711703291373,-7.112480014176743,-3.942218432065652,-7.153823165805291,-0.7076025248498163
0.002,-9.625601244839308,-5.687817728674734,-11.590618000857503,-12.00459088710023,-6.582584939711811,-7.154615996888383,-11.875068383859428,-14.660591588526753,-5.196986761810103,-6.8119882876405855,-7.778743407691962,-7.293187840828619,-4.486505887421806,-7.566866479317978,-1.0266563217252167
0.004,-10.5090535628546,-6.527925459276712,-12.376495916928935,-12.129135218277058,-7.4302533968218105,-7.271967506203131,-12.09848463788588,-14.9649080551477,-5.550004161993749,-7.182009472218601,-8.101775112092552,-7.473895667480494,-5.030793342777958,-7.979909792830665,-1.3457101186006168
0.006,-11.392505880869894,-7.368033189878691,-13.162373833000364,-12.253679549453889,-8.277921853931812,-7.389319015517879,-12.321900891912332,-15.269224521768647,-5.903021562177395,-7.552030656796616,-8.424806816493142,-7.654603494132369,-5.5750807981341115,-8.392953106343352,-1.6647639154760172
0.008,-11.218029313875387,-7.361769419360377,-12.932721249827011,-11.574178407317932,-7.855843848468499,-6.533221239934996,-12.079763798387752,-14.98127872555199,-6.044260681704436,-7.752541834807794,-8.409425305277626,-7.412060425845448,-5.99210339505721,-8.551846804212696,-1.6453048727782857
0.01,-10.576003651631959,-6.981453824375629,-12.254257434776761,-10.539331325666112,-6.872604485013204,-5.246909922712838,-11.631876536282524,-14.431584064111108,-6.091904905659677,-7.878138478080752,-8.244482897272492,-6.9824626549264215,-6.352881597615284,-8.598419698163925,-1.4762409047256693
0.012,-9.93397798938853,-6.601138229390882,-11.575793619726511,-9.504484244014293,-5.889365121557909,-3.9605986054906817,-11.183989274177295,-13.881889402670225,-6.139549129614917,-8.003735121353708,-8.079540489267357,-6.552864884007396,-6.713659800173358,-8.644992592115154,-1.3071769366730528
0.014,-9.291952327145102,-6.220822634406135,-10.89732980467626,-8.469637162362472,-4.906125758102614,-2.6742872882685242,-10.736102012072067,-13.332194741229344,-6.187193353570157,-8.129331764626667,-7.914598081262223,-6.123267113088369,-7.074438002731432,-8.691565486066382,-1.1381129686204363
0.016,-8.613686518193134,-5.767734198090723,-10.109760748889501,-7.87247734227444,-4.251102546199428,-2.0443525174247092,-10.069486346460177,-12.600466411760173,-6.052407090166421,-7.963060564496058,-7.6769032710314695,-5.584302585896047,-7.216201953906356,-8.555671667250168,-0.89621331404512
0.018000000000000002,-7.910998001676592,-5.265603194791352,-9.248664248258198,-7.570280676720026,-3.817268479908574,-1.8567584626207259,-9.255466756745221,-11.74606321905392,-5.794678541802749,-7.600095817722916,-7.390179667996245,-4.971634375127868,-7.210369344365798,-8.296811150698746,-0.605228740291212
0.02,-7.208309485160051,-4.7634721914919815,-8.387567747626893,-7.268084011165612,-3.3834344136177195,-1.6691644078167427,-8.441447167030265,-10.891660026347667,-5.536949993439077,-7.237131070949773,-7.10345606496102,-4.358966164359688,-7.20453673482524,-8.037950634147322,-0.3142441665373039
0.022,-6.505620968642155,-4.261341188191644,-7.526471246993931,-6.965887345610617,-2.9496003473260295,-1.481570353012398,-7.627427577313741,-10.03725683363977,-5.279221445074907,-6.874166324175931,-6.816732461925243,-3.7462979535903287,-7.19870412528467,-7.779090117595401,-0.023259592782835625
0.024,-6.109083245698251,-4.126490686880072,-7.093955930808733,-7.153351589253507,-3.2501246607374945,-1.9059550327865922,-6.9358286112143785,-9.397256443276913,-4.929602337097604,-6.602841993164668,-6.5913399609166055,-3.1948370315692327,-7.100877917721277,-7.428310154954951,0.05348129273587071
