Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,-8.147339888612859,-1.5111600717533853,-4.699184323369903,-7.925799583936284,0.3879068681327127,-0.2219849268568367,0.32257976090081286,-5.3706185463983065,-4.676417792125401,1.3294528798675844,-0.6444724897352982,6.413384034659373,0.9134478170948542,0.7274069631655263,3.404254926437161
0.002,-8.155702005281578,-1.9374704735740351,-5.057182066190537,-8.104124444934701,0.26701794218488345,-0.2249286076056822,0.2717088308718595,-5.714770464546552,-4.6376632709012044,0.71420352910744,-1.0082205975249394,5.864439610899781,0.8506920570095804,0.35910411165971345,2.6696471783357714
0.004,-8.164064121950297,-2.363780875394685,-5.41517980901117,-8.282449305933119,0.1461290162370542,-0.22787228835452772,0.22083790084290608,-6.058922382694798,-4.598908749677007,0.09895417834729558,-1.3719687053145808,5.31549518714019,0.7879362969243066,-0.009198739846099535,1.9350394302343825
0.006,-7.891864690263108,-2.4907343169294514,-5.642235481015308,-8.292335296615724,0.04396363374600839,-0.11852930066812746,0.226108681691744,-6.159868883236126,-4.578911200771028,-0.42275748765089005,-1.604849345323698,4.859994988838424,0.8561838370880471,-0.1904424438088153,1.331397527677042
0.008,-6.984835314412896,-1.940329212730704,-5.573006975832138,-7.921092657006398,-0.015835764821519008,0.24488606390212514,0.3584119778322112,-5.710511599868733,-4.601355275669946,-0.732820324568458,-1.5416146133201227,4.615932148140972,1.2208540990025065,0.0515748047212381,1.024093597665116
0.01,-6.077805938562685,-1.3899241085319562,-5.503778470648969,-7.549850017397073,-0.07563516338904638,0.6083014284723778,0.49071527397267833,-5.261154316501339,-4.623799350568864,-1.0428831614860261,-1.4783798813165476,4.3718693074435215,1.585524360916966,0.29359205325129145,0.7167896676531902
0.012,-5.170776562712472,-0.8395190043332086,-5.434549965465799,-7.178607377787747,-0.1354345619565738,0.9717167930426305,0.6230185701131454,-4.811797033133946,-4.646243425467782,-1.352945998403594,-1.4151451493129725,4.127806466746071,1.9501946228314255,0.5356093017813448,0.40948573764126417
0.014,-4.443541984619298,-0.4431665168883996,-5.339641985179706,-6.858672172998601,-0.20806239183706626,1.232439299141665,0.652610066203971,-4.452311770584109,-4.7842886091348,-1.6758450497978206,-1.3648038903053004,3.8708428103801324,2.173655818232177,0.7519419844040393,0.19208258811034237
0.016,-4.39109282034061,-0.6249868133169684,-5.148356715618788,-6.731298205069398,-0.3288364330645779,1.107746632702282,0.29671530037774374,-4.430123968885525,-5.356194744228845,-2.0469195234227366,-1.3628529497027264,3.565461277927152,1.867147183749419,0.8718782715200719,0.3120848369316882
0.018000000000000002,-4.3386436560619215,-0.806807109745537,-4.957071446057871,-6.603924237140196,-0.4496104742920895,0.9830539662628988,-0.059179465448483515,-4.407936167186939,-5.928100879322891,-2.417993997047653,-1.3609020091001525,3.2600797454741715,1.560638549266661,0.9918145586361045,0.4320870857530341
0.02,-4.286194491783234,-0.9886274061741058,-4.7657861764969525,-6.476550269210993,-0.5703845155196011,0.8583612998235156,-0.4150742312747109,-4.385748365488355,-6.500007014416937,-2.789068470672569,-1.3589510684975787,2.9546982130211905,1.254129914783903,1.111750845752137,0.5520893345743799
0.022,-4.338386579623227,-1.2192542562416024,-4.5814775486023,-6.397972747414031,-0.7051020142272084,0.6988110478342996,-0.7988622848124497,-4.426331226341296,-7.078906036418582,-3.181065845440733,-1.3849295299288336,2.60743265147299,0.891840915837488,1.168908385680998,0.665124679575592
0.024,-5.201548371386087,-1.8281318970122313,-4.4512378936214105,-6.697567683143372,-0.9478813084059677,0.2691145078328512,-1.3988233181152268,-4.953386721970419,-7.711999931954333,-3.7352157040696836,-1.6273608571230862,1.9355658644356017,0.09725409229608717,0.7395306349074269,0.7241665199705609
0.026000000000000002,-6.0647101631489475,-2.43700953778286,-4.32099823864052,-6.997162618872714,-1.190660602584727,-0.16058203216859723,-1.9987843514180037,-5.48044221759954,-8.345093827490084,-4.2893655626986344,-1.8697921843173386,1.2636990773982133,-0.6973327312453137,0.31015288413385567,0.78320836036553
0.028,-6.927871954913471,-3.0458871785546613,-4.190758583659379,-7.296757554602633,-1.4334398967639541,-0.5902785721708733,-2.598745384721936,-6.007497713229678,-8.978187723027053,-4.843515421328653,-2.112223511512058,0.5918322903595308,-1.491919554788245,-0.11922486664054244,0.8422502007606127
0.03,-7.7766095127730885,-3.641445162598187,-4.056080369422772,-7.587470023631166,-1.6728889048562814,-1.0155332607884446,-3.18649850570126,-6.520126128749828,-9.59019998460299,-5.376580417628616,-2.345781684354425,-0.0689426047507178,-2.275405896606307,-0.547493087116665,0.905732219789487
0.032,-7.846438439845392,-3.5177416833668533,-3.681719955373697,-7.398529290808539,-1.732502464278467,-1.2009279746728945,-3.1150243612037523,-6.2536922183732875,-9.063804012330998,-4.771062848145373,-2.100189522187451,-0.13075533578603113,-2.4594662253546566,-0.9158466715296246,1.2089838850530037
0.034,-7.916267366917696,-3.3940382041355197,-3.3073595413246215,-7.209588557985911,-1.7921160237006526,-1.3863226885573443,-3.0435502167062443,-5.987258307996746,-8.537408040059006,-4.165545278662131,-1.854597360020477,-0.19256806682134447,-2.643526554103006,-1.2842002559425842,1.5122355503165203
0.036000000000000004,-7.986096293989999,-3.270334724904186,-2.9329991272755462,-7.020647825163284,-1.8517295831228382,-1.5717174024417941,-2.9720760722087367,-5.720824397620206,-8.011012067787014,-3.560027709178889,-1.6090051978535032,-0.2543807978566578,-2.8275868828513557,-1.652553840355544,1.815487215580037
0.038,-8.055925221062303,-3.1466312456728525,-2.558638713226471,-6.831707092340657,-1.9113431425450238,-1.757112116326244,-2.900601927711229,-5.454390487243664,-7.4846160955150225,-2.954510139695647,-1.3634130356865293,-0.31619352889197117,-3.0116472115997053,-2.0209074247685037,2.1187388808435537
