A1,A2,V1,V2,V3,V4,V5,V6
0.4723317,0.4696415,0.5018861,0.45848203,0.44979405,0.4498051,0.46531278,0.46153635
0.4807985,0.4714448,0.49333975,0.45967522,0.442513,0.45234066,0.46753114,0.4641561
0.48200172,0.48439535,0.505154,0.4699615,0.45813847,0.4616043,0.46140382,0.47126198
0.48255256,0.47887984,0.499399,0.46930838,0.44621632,0.456198,0.47667718,0.4681753
0.48922494,0.48029378,0.50132126,0.46999177,0.45879757,0.45708984,0.47198984,0.4765104
0.48481083,0.47999933,0.5008049,0.46000504,0.4589708,0.465673,0.4749692,0.47019482
0.47799155,0.47909558,0.502447,0.4663314,0.46290934,0.4535095,0.46693128,0.47024316
0.48394656,0.47920334,0.4993158,0.46233076,0.46106538,0.46944612,0.47823352,0.47012755
0.4853442,0.47937566,0.5000802,0.46651924,0.45878953,0.46124366,0.4672048,0.46918052
0.48076734,0.4767663,0.49941227,0.46552354,0.4590447,0.46293345,0.47507238,0.46884477
0.4782151,0.4820907,0.4989121,0.46674758,0.45862645,0.4613695,0.46663004,0.469486
0.48371604,0.4824456,0.50133884,0.4650862,0.46073037,0.46157473,0.47921324,0.46892843
0.47976458,0.47882286,0.50208956,0.4701951,0.4569171,0.4618947,0.46570152,0.4703213
0.48082566,0.48037183,0.49530494,0.46732035,0.46107498,0.46212512,0.47563666,0.46839303
0.47955275,0.48162827,0.50003225,0.4680786,0.46197808,0.46110934,0.46694094,0.4702583
0.47973165,0.47592962,0.49666005,0.46745935,0.46228224,0.46632886,0.47675228,0.46609044
0.47831428,0.47913003,0.49759942,0.46666566,0.46307322,0.46241343,0.46447682,0.47259653
0.4810866,0.481102,0.4962157,0.4629183,0.460806,0.4675194,0.4807381,0.46679175
0.47795406,0.4735072,0.49948806,0.46778405,0.46094835,0.4641198,0.46726853,0.47442052
0.4805119,0.4784273,0.49512923,0.46415803,0.45944163,0.46533495,0.4767266,0.46826762
0.47822315,0.47908336,0.49777195,0.46628264,0.45990855,0.45953566,0.46682176,0.47099125
0.48445094,0.47876263,0.49525762,0.46469727,0.4573058,0.46372133,0.47896892,0.466757
0.48013803,0.47611764,0.49661344,0.46706372,0.45698038,0.45964515,0.46950746,0.46956077
0.4805894,0.47845268,0.49551606,0.46970695,0.4563078,0.46379757,0.47619826,0.46845138
0.47723514,0.48262608,0.49716586,0.46999693,0.45960176,0.45854115,0.4665423,0.46924952
0.4849224,0.4797574,0.49954107,0.46771896,0.45632908,0.46304122,0.476897,0.4678903
0.48035973,0.47938365,0.5016995,0.47253627,0.4636643,0.46000886,0.46550307,0.47096682
0.47911596,0.47690272,0.4964081,0.46817476,0.46388155,0.4640444,0.48100868,0.4691308
0.48225152,0.47934583,0.49702543,0.4698089,0.46038038,0.4623391,0.4639939,0.47001714
0.48186028,0.4758719,0.5010185,0.46514457,0.45880175,0.46503484,0.4761672,0.46495712
0.48003137,0.47944987,0.49925166,0.46726373,0.46299866,0.4596647,0.4663084,0.4721464
0.48088095,0.48004454,0.49387687,0.46622753,0.45836532,0.46878007,0.47680485,0.47001538
0.4806493,0.48070446,0.5013669,0.46739578,0.45831308,0.4629747,0.46697456,0.47300285
0.48313382,0.4819215,0.49750727,0.46273685,0.4607279,0.46238387,0.47472546,0.46987915
0.4759606,0.47788614,0.5025652,0.4675295,0.46177715,0.4594714,0.46701223,0.47104564
0.48069364,0.48076785,0.49570572,0.4645025,0.46099323,0.46508577,0.47592676,0.46577424
0.47482145,0.47737145,0.49988174,0.46694773,0.4617827,0.46022364,0.46606675,0.47292736
0.48137665,0.48047507,0.49732137,0.46658874,0.46008188,0.4603328,0.47704884,0.46668684
0.47830105,0.47415227,0.49959382,0.46832612,0.46189696,0.46223232,0.46572894,0.4671787
0.4816797,0.47595865,0.49676055,0.4688858,0.46012163,0.46205533,0.47470513,0.46824008
0.47879785,0.47642216,0.49639276,0.46922523,0.46330965,0.46312243,0.4677034,0.4712772
0.4805264,0.47713882,0.4999864,0.46828926,0.4600202,0.46395165,0.47799373,0.4690919
0.48001552,0.48114282,0.4970264,0.46812552,0.45866466,0.4624934,0.46937978,0.46984902
0.48166764,0.48148423,0.49745148,0.4671763,0.46088314,0.4645084,0.47596708,0.4710333
0.47828573,0.48118275,0.5007326,0.46742046,0.46122593,0.45857972,0.46574342,0.46634102
0.4823257,0.4759237,0.49576008,0.46417576,0.46062785,0.4646711,0.47800526,0.4675819
0.4790424,0.48024613,0.49939448,0.46669883,0.461316,0.4600973,0.46341252,0.47055715
0.4798119,0.48160374,0.49828747,0.4654152,0.45831865,0.46403018,0.4763535,0.46670622
0.4779699,0.47763115,0.5015192,0.46677637,0.46043646,0.46285385,0.46459842,0.47238302
0.48228773,0.47918892,0.49753106,0.46354735,0.45873076,0.46274376,0.4753353,0.46648702
0.4789287,0.4773859,0.5035602,0.4661244,0.45838475,0.46174657,0.46688175,0.47261727
0.48258328,0.47984266,0.4959075,0.46310657,0.46076453,0.4624925,0.4737271,0.46867642
0.47886708,0.4782906,0.5018513,0.46739924,0.46432224,0.46072042,0.4670844,0.47199625
0.48146066,0.47947866,0.49912566,0.46538898,0.46285427,0.4626172,0.47645122,0.46912253
0.4794705,0.47971004,0.50137985,0.4691871,0.46097106,0.46077263,0.46602416,0.47169715
0.481294,0.48061916,0.5024605,0.46697536,0.45838076,0.46419203,0.47624475,0.46867537
0.47977874,0.4795494,0.4982401,0.4685868,0.4610326,0.45970738,0.46228984,0.4707375
0.4810704,0.47818494,0.49669158,0.46829563,0.45668143,0.4632973,0.47519556,0.46637344
0.4793912,0.47751135,0.5014238,0.4704504,0.461461,0.46238443,0.46779233,0.47164178
0.4817953,0.47704992,0.49853432,0.46594435,0.4593382,0.46345842,0.4751075,0.46935132
0.47792578,0.4790579,0.4997952,0.46627533,0.45847028,0.45921016,0.46724832,0.47107577
0.4827583,0.47929993,0.4963052,0.4650573,0.45960677,0.46256587,0.4764167,0.46992514
0.48124915,0.47984737,0.49510556,0.4694729,0.4623827,0.45872784,0.46862566,0.46970987
0.48232055,0.4779744,0.49576917,0.4663919,0.45790365,0.46599862,0.47788817,0.46702546
0.48051268,0.47868836,0.49651566,0.47023958,0.46223232,0.46119082,0.4689014,0.4696867
0.48393044,0.47984797,0.4991362,0.4630932,0.458582,0.4675096,0.47903955,0.46680546
0.4787277,0.4748484,0.50047153,0.47164088,0.45934755,0.4593017,0.46824127,0.46955234
0.4810445,0.47758284,0.49533558,0.4669303,0.45860356,0.46447575,0.4736536,0.46637437
0.4770974,0.48160586,0.4998868,0.4710056,0.4616563,0.45632118,0.46362507,0.472758
0.48477253,0.4806682,0.49852762,0.46956939,0.46160537,0.46256965,0.47563466,0.47110912
0.4811944,0.477058,0.49973333,0.4739939,0.46590382,0.46288002,0.46701974,0.47185352
0.4805017,0.4787175,0.4985646,0.46796483,0.46292204,0.46499974,0.4775684,0.46890754
0.48012787,0.48176765,0.5009815,0.4735312,0.4607829,0.46195436,0.46831748,0.4734469
0.4813762,0.47749662,0.4981658,0.47001454,0.4581433,0.4676066,0.47701967,0.46791136
0.48072892,0.48176622,0.4980071,0.46646726,0.4610941,0.45930046,0.46326432,0.4716793
0.4831758,0.47705504,0.49535996,0.46516654,0.45744777,0.46774402,0.4779958,0.46989384
0.4811812,0.4776286,0.50035745,0.466192,0.46213466,0.46224284,0.4652859,0.4728373
0.48206276,0.4799044,0.49921167,0.46403846,0.4585333,0.46352983,0.47825322,0.46790457
0.48039386,0.47925943,0.5013365,0.46778888,0.459873,0.46179512,0.46685106,0.46756056
0.48286557,0.4819913,0.4996214,0.46773225,0.45604244,0.46427682,0.47624195,0.4668347
0.47918433,0.48189586,0.500558,0.46846855,0.4609996,0.4614671,0.46371365,0.47348666
0.48093656,0.47841278,0.49874002,0.4690996,0.4595645,0.4640924,0.4778253,0.46906555
0.4797747,0.47809348,0.49853307,0.46962768,0.46238112,0.46410173,0.4686582,0.47075218
0.48158228,0.4789695,0.49901903,0.46654138,0.45701644,0.46600577,0.47590253,0.46832898
0.47982615,0.48229682,0.4978394,0.4691608,0.45841795,0.4642118,0.46419317,0.47310525
0.47954333,0.48175517,0.4967674,0.46671683,0.4563595,0.4669454,0.47752002,0.4690501
0.48010594,0.48330772,0.50093865,0.46948105,0.46214634,0.46291485,0.46773222,0.47401172
