A1,A2,V1,V2,V3,V4,V5,V6
0.48032564,0.46837986,0.49314183,0.47226733,0.4378768,0.4573071,0.4664853,0.4692229
0.47979683,0.46840516,0.49226487,0.472718,0.43861565,0.45745113,0.46290645,0.4706899
0.48055285,0.47178593,0.49329776,0.47399214,0.4412254,0.459154,0.4683013,0.47206178
0.48042634,0.47271144,0.4940217,0.47694033,0.44110966,0.45814848,0.46590865,0.4743359
0.4825232,0.47026443,0.4931801,0.475743,0.44251662,0.45991808,0.46750414,0.4726483
0.48178363,0.4709018,0.49364537,0.47558647,0.44315812,0.46302074,0.4636924,0.47327158
0.4786904,0.47111952,0.49232936,0.47509465,0.4389187,0.4592721,0.4681394,0.4708261
0.48351184,0.4718787,0.49386746,0.47619694,0.44088686,0.4625361,0.46676993,0.47046295
0.47927266,0.4710336,0.49259892,0.47706085,0.4386117,0.45948738,0.46628734,0.47091973
0.48239806,0.47093278,0.4926506,0.47702354,0.44033295,0.4613961,0.46288002,0.47157067
0.4784661,0.4710886,0.49409717,0.47783497,0.4392908,0.4590962,0.46658343,0.4712101
0.4832438,0.47235483,0.4946152,0.4783287,0.44216806,0.46079552,0.4673186,0.47263753
0.48230326,0.47117808,0.49273723,0.47838905,0.43948954,0.46022427,0.4660377,0.47129464
0.4815002,0.47176123,0.49434662,0.47748056,0.44162446,0.46150538,0.46568257,0.47116506
0.4810242,0.47025827,0.49408847,0.47605616,0.43904638,0.46146435,0.4667195,0.46926504
0.4828898,0.47122204,0.49510688,0.47556743,0.44204378,0.4622361,0.4652655,0.4723339
0.48101032,0.46967578,0.49349672,0.47571933,0.44211498,0.45900935,0.46415007,0.47146156
0.48062003,0.4728694,0.49465874,0.47519946,0.44386715,0.4605159,0.4658792,0.47145364
0.48152202,0.4700085,0.49394655,0.47702676,0.44149768,0.45927396,0.46659654,0.4711992
0.4813507,0.47152716,0.49483478,0.47549486,0.44209516,0.4601868,0.46455067,0.47032678
0.48135972,0.4693481,0.49429813,0.47678483,0.44220275,0.4607382,0.46689993,0.4711572
0.48161048,0.47182176,0.49473736,0.47634774,0.44193262,0.46142036,0.46520236,0.47077173
0.48076186,0.4722342,0.49262765,0.4775476,0.43937576,0.45814604,0.4677124,0.47217968
0.48314196,0.47173777,0.4945368,0.4774681,0.442208,0.4625544,0.46672508,0.47227928
0.48086467,0.4706914,0.49203995,0.4785912,0.43969232,0.45986587,0.46669316,0.4708106
0.48229793,0.47139513,0.4941426,0.47690356,0.44181314,0.46163222,0.46595806,0.4719425
0.47954434,0.46994552,0.49377123,0.47772807,0.44035256,0.45886102,0.46560252,0.4712816
0.48237148,0.47005117,0.49377912,0.47827148,0.44156432,0.4618549,0.46660143,0.4712105
0.481498,0.47053194,0.49299356,0.47728252,0.4412115,0.46046913,0.46644336,0.47221854
0.48160493,0.4715922,0.4934699,0.47593334,0.44162926,0.46304795,0.465513,0.47135118
0.48132294,0.47005206,0.49260402,0.47672296,0.44077438,0.46057802,0.46681446,0.4706539
0.48215848,0.47232062,0.49366224,0.47553566,0.44056827,0.4630379,0.46575212,0.4703725
0.47910404,0.46798044,0.49274823,0.47682062,0.44070625,0.4612813,0.46542218,0.47229734
0.48089492,0.47358155,0.49338856,0.47469288,0.4421118,0.46051377,0.46456677,0.47021347
0.47974887,0.46943808,0.49396992,0.47819895,0.44209373,0.46022868,0.46720558,0.4718231
0.4823851,0.4724467,0.49199355,0.4753915,0.44191468,0.46213472,0.4638028,0.47106662
0.479804,0.47090286,0.49245876,0.478741,0.44231713,0.4609173,0.4664094,0.47199243
0.48145533,0.47369438,0.49299383,0.47658142,0.4419816,0.4609742,0.46468705,0.4709809
0.48065,0.47076577,0.49375463,0.47788537,0.4407652,0.45894885,0.46644056,0.470923
0.4823269,0.47120482,0.49410743,0.47621766,0.4416418,0.4622718,0.4653878,0.4712301
0.48126966,0.46961564,0.49295697,0.47855467,0.44150367,0.45985994,0.4660911,0.47256517
0.48165926,0.47217026,0.49429584,0.47707608,0.44190985,0.46190023,0.4655119,0.47093576
0.48200285,0.47065955,0.4940618,0.47563612,0.4399951,0.45925814,0.46710372,0.47179464
0.48211375,0.47222498,0.4944836,0.47515717,0.4431115,0.46234807,0.4668385,0.47079515
0.48075658,0.47163677,0.49275583,0.47688073,0.44085637,0.46045375,0.4660508,0.47033012
0.4810545,0.47201276,0.49341607,0.47670323,0.44191644,0.4606742,0.4666824,0.47045085
0.48093325,0.4696917,0.49363732,0.47692817,0.4408665,0.46042737,0.467467,0.47212708
0.481339,0.47265175,0.4947019,0.47569048,0.44131792,0.46195406,0.4650231,0.4701342
0.47959262,0.47032374,0.49218613,0.47776163,0.44061518,0.46062595,0.46673512,0.47244093
