A1,A2,V1,V2,V3,V4,V5,V6
0.48375696,0.4757911,0.5012093,0.46987832,0.4581289,0.46094993,0.47270933,0.4730006
0.48051393,0.47575897,0.5005309,0.46763608,0.46085107,0.45471725,0.4684382,0.47741485
0.4844066,0.47468626,0.5001933,0.4686405,0.46044382,0.45971283,0.47362626,0.476217
0.48046145,0.47784114,0.5017443,0.46829754,0.4645298,0.46131402,0.46927226,0.47649327
0.47991982,0.47666502,0.5011255,0.46812373,0.46283597,0.46137148,0.46970338,0.474288
0.4785207,0.47665274,0.5011606,0.4685374,0.46462068,0.4599284,0.4661315,0.47761002
0.48258546,0.47386312,0.501219,0.4675598,0.4602262,0.46170306,0.47126707,0.47564435
0.47937664,0.47575438,0.5011689,0.46573725,0.46246883,0.4585811,0.46548158,0.47366932
0.48050296,0.47665268,0.4996172,0.46931565,0.45994264,0.46002826,0.46887326,0.47631237
0.47991568,0.4776046,0.4998128,0.4678751,0.46264827,0.45765707,0.46518373,0.47447032
0.48241726,0.47716647,0.50193334,0.46962246,0.46119475,0.45900387,0.46882147,0.47553515
0.4810681,0.4764948,0.5007458,0.46901342,0.463952,0.45903146,0.465793,0.4745824
0.4819427,0.4752107,0.5021926,0.47018304,0.4617408,0.4594673,0.47037128,0.4758652
0.4787472,0.47621524,0.5016535,0.4692849,0.46408373,0.46002612,0.46625167,0.4751343
0.4826423,0.4755066,0.500103,0.46928206,0.45907235,0.46064138,0.47075337,0.4754096
0.47974807,0.4763872,0.5022038,0.4690599,0.4628141,0.45932928,0.46576864,0.4745792
0.48136842,0.47457892,0.5004213,0.4708622,0.46153483,0.46002167,0.471331,0.4753967
0.48025942,0.47543073,0.50163245,0.46723035,0.46320128,0.4589452,0.4664557,0.47586256
0.48173055,0.47500283,0.49966836,0.46828222,0.4601006,0.45905766,0.46997166,0.47436467
0.48082513,0.47638047,0.500787,0.46762094,0.46220672,0.45981717,0.46633488,0.47590992
0.48143613,0.4738375,0.5014867,0.46862668,0.4608065,0.46159458,0.47074813,0.4736573
0.47928774,0.4753834,0.5009412,0.4698548,0.46153015,0.45866656,0.4661625,0.47495013
0.48235017,0.47506827,0.5004825,0.46908385,0.45976388,0.45979375,0.4701615,0.47548974
0.4811915,0.47598606,0.5015003,0.46807298,0.4631035,0.45968625,0.46641874,0.47579938
0.48189163,0.47599217,0.50126743,0.47020346,0.45983386,0.45891535,0.46962768,0.47591028
0.4805181,0.47735697,0.5014396,0.4693251,0.46296802,0.45943138,0.46644568,0.47624964
0.48162848,0.47510284,0.50117767,0.4694878,0.4602519,0.45912677,0.46981797,0.47477776
0.47984993,0.47499153,0.50155365,0.46857378,0.46250993,0.45844486,0.4668212,0.47430015
0.4810254,0.47459313,0.5018215,0.4692306,0.45957732,0.45908064,0.47048306,0.47519398
0.47904265,0.4765585,0.5015731,0.4674364,0.46293312,0.4587738,0.46526262,0.47338468
0.4820436,0.47391534,0.5007993,0.46847153,0.45934725,0.45769876,0.4704873,0.4764365
0.47949278,0.47588432,0.50157833,0.46870354,0.46256083,0.4582829,0.46565658,0.47453907
0.48127258,0.4734547,0.5012611,0.46870527,0.46120214,0.45988145,0.4700098,0.47388694
0.47974396,0.47646898,0.50185364,0.4685036,0.46324193,0.4588088,0.46524748,0.47478223
0.48122972,0.47553897,0.5005725,0.46986854,0.46028113,0.45988387,0.4710442,0.4750563
0.48002708,0.47641635,0.5026189,0.46794608,0.46217972,0.45989347,0.46578634,0.47515872
0.48192495,0.4748645,0.50092155,0.47093892,0.46121028,0.45888567,0.47097266,0.47504014
0.48076034,0.47665828,0.5014398,0.46989265,0.46213812,0.45935676,0.46626216,0.4760722
0.4821005,0.47568643,0.50190014,0.47049403,0.46081203,0.45917296,0.47014716,0.47608536
0.4802436,0.47600275,0.5018285,0.46893638,0.46278918,0.46080706,0.46517968,0.47405165
0.4824932,0.47562793,0.50151694,0.46875644,0.46016324,0.45870155,0.46930504,0.47638944
0.4797646,0.47628233,0.5012741,0.46908337,0.46222487,0.4596054,0.46613377,0.47491878
0.48183674,0.47493958,0.50120145,0.46979314,0.46056896,0.45955712,0.4713119,0.47555268
0.4798089,0.4759661,0.5021441,0.46759623,0.4624825,0.4591331,0.46582112,0.4740866
0.480988,0.47372913,0.50232947,0.4695148,0.46048546,0.459691,0.47064933,0.47659832
0.48037875,0.47696,0.5017694,0.46751434,0.46179748,0.45786795,0.46486706,0.47424364
0.48229432,0.47508448,0.5007311,0.4709906,0.46083677,0.46063364,0.47065717,0.47533804
0.4804237,0.4773444,0.50158894,0.46867487,0.46255362,0.45952973,0.46586218,0.475151
0.48130006,0.47380415,0.5018274,0.4700974,0.45975545,0.4599486,0.47119498,0.4750325
0.48020515,0.47632116,0.50146973,0.46814495,0.46363366,0.46021494,0.46623325,0.474424
0.48207563,0.47545922,0.5009279,0.46892598,0.45961112,0.4602856,0.46997926,0.47598487
0.48046932,0.47614282,0.5007036,0.4687761,0.46270335,0.45977625,0.46511763,0.47602016
0.48221356,0.47571912,0.500358,0.46987134,0.46049872,0.4585734,0.47071844,0.47600317
0.4798402,0.47550654,0.49961066,0.46844396,0.46272606,0.45998895,0.4671294,0.47501063
0.48163012,0.47368115,0.50038284,0.47051623,0.4597024,0.45939612,0.47100177,0.4760195
0.4787407,0.47637844,0.50287026,0.46820024,0.46235043,0.45887294,0.46575177,0.47302067
0.48023915,0.47448274,0.5011856,0.46954608,0.46086043,0.45895356,0.47113675,0.47500813
0.4805899,0.4757237,0.5005229,0.4691886,0.46316046,0.45916796,0.46613455,0.47548056
0.482022,0.47530597,0.49967209,0.47007602,0.46168154,0.45905417,0.47061127,0.47515726
0.48004854,0.47654602,0.5010433,0.4682919,0.46343017,0.45954773,0.46718985,0.47458607
0.48210937,0.47438034,0.500632,0.4703321,0.46070266,0.45962086,0.47197247,0.4754377
0.47942057,0.47593272,0.5012702,0.4690053,0.46265858,0.45974267,0.4660569,0.47472435
0.48079646,0.4747492,0.50105655,0.46935835,0.46045583,0.46009916,0.47155017,0.47528175
0.48072082,0.47715944,0.50118387,0.46926418,0.4621019,0.46015596,0.46533033,0.47524065
0.48232204,0.4760321,0.50057405,0.46864584,0.46042526,0.45970905,0.4688757,0.4758327
0.4792476,0.47654906,0.5001095,0.46855313,0.46292907,0.45978191,0.4659307,0.4753997
0.48133987,0.47471607,0.5015322,0.4702822,0.46098995,0.45970193,0.46963304,0.47524345
0.48043433,0.47703284,0.50168014,0.46959195,0.4622894,0.45772874,0.46527624,0.47480947
0.48229867,0.47495288,0.50148505,0.46941108,0.45968592,0.45973098,0.47040027,0.4762519
0.48027474,0.4758349,0.5018036,0.469878,0.4626006,0.45964614,0.46633887,0.47502586
0.48128426,0.47508556,0.5008869,0.46967006,0.46097314,0.46036583,0.47113377,0.47555488
0.47985938,0.47522873,0.50052047,0.4690194,0.46316525,0.45973274,0.465546,0.4757547
0.4815877,0.47435737,0.5005001,0.46887335,0.46087754,0.45984602,0.47057188,0.47516614
0.47953507,0.47612113,0.50076145,0.4684537,0.4620927,0.45976037,0.4647504,0.47434694
0.48215222,0.4746136,0.50036484,0.46973807,0.46088085,0.45940676,0.4699428,0.47525102
0.48100182,0.47649547,0.50100315,0.46909952,0.46284038,0.45954192,0.46619558,0.476543
0.48062754,0.47587976,0.5021205,0.47024226,0.46205258,0.45963043,0.47108597,0.4753622
0.48033768,0.4757083,0.5013585,0.4693084,0.46229014,0.45984876,0.46625966,0.47514644
0.48111805,0.47445208,0.50071657,0.46944046,0.45922804,0.46053797,0.47136557,0.47498968
0.48130396,0.47797123,0.50214094,0.46844974,0.46114063,0.45909926,0.4672175,0.47416407
0.48158485,0.47523907,0.5016879,0.46952012,0.45910633,0.46075365,0.47166848,0.4756838
0.4797441,0.4762134,0.50136787,0.46857595,0.46223766,0.45869935,0.46691146,0.47547534
0.4808192,0.47467667,0.50186706,0.47095883,0.45903414,0.45997152,0.47148108,0.47479075
0.4805123,0.4772619,0.50178576,0.4700231,0.46043298,0.45937085,0.46541137,0.47322822
0.48253366,0.47588575,0.50110346,0.46853435,0.46071184,0.4604929,0.47204253,0.4753458
0.47988033,0.4771235,0.5019437,0.46865517,0.46237764,0.4608571,0.4659192,0.4763667
0.48251566,0.47633308,0.5009674,0.4706287,0.46014524,0.46023428,0.47329146,0.4763606
0.4810624,0.47789687,0.50310075,0.46838048,0.46319196,0.4600006,0.46665275,0.47585514
0.48213756,0.47645938,0.5005769,0.4689179,0.46003705,0.4582082,0.47146577,0.47496706
0.47986,0.4772804,0.5010439,0.46821988,0.46180266,0.46211398,0.46672937,0.47547275
0.48238876,0.47752693,0.49940237,0.46823558,0.46043837,0.4588452,0.4711675,0.47514957
0.48013964,0.47782874,0.5011523,0.46692675,0.46222132,0.46027923,0.46655402,0.4763171
0.4813882,0.4752283,0.5007911,0.4679509,0.459755,0.4587205,0.4705732,0.47484308
0.48002133,0.4777155,0.501062,0.46672755,0.46343696,0.45851338,0.46719238,0.47450602
0.48244685,0.47637227,0.5014205,0.46718323,0.45995665,0.45903534,0.4708808,0.47510642
