,ch_15,ch_14,ch_13,ch_12,ch_11,ch_10,ch_9,ch_8,ch_7,ch_6,ch_5,ch_4,ch_3,ch_2,ch_1,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,5.785998202971978,13.097521571552685,12.485443338226757,7.404002103675894,16.437779427373425,18.813345409113992,22.010129372637508,18.525144223244936,16.500000759211108,21.499925240601563,22.39969618913292,18.93126813744584,18.71797046558587,19.56656853106155,18.408337990293834,-57.17913296629163,-101.84437298949686,-44.665240023249694,108.1013194610272,-34.84651295464217,-124.17699300115314,39.68606130071815,-96.83895039502355,-128.33465241473795,-157.4098295722703,-138.75382250647425,-98.54025733654217
1,5.901082490524858,12.400980794523292,11.425023298056493,7.3182832436604714,16.16271713367547,18.421035145289085,21.868066593396875,18.148837182393077,16.361282880333373,21.551171798633163,22.083536894974145,18.680373390373298,18.711329512629064,18.82356811689443,17.9098113256808,-57.359603550313174,-101.30778582230118,-43.94818227203271,108.01349646145061,-35.38551241427214,-123.28187695834836,39.69730159736203,-97.52241615983816,-128.2918313478094,-156.24418183989974,-138.9913642800404,-98.92564087017477
2,6.0161667780775065,11.704440017495296,10.364603257888351,7.2325643836452205,15.887654839978069,18.028724881464964,21.726003814156527,17.77253014154197,16.222565001455912,21.602418356664664,21.767377600816,18.42947864330126,18.70468855967227,18.080567702728803,17.41128466106876,-57.499804985299306,-100.76094647159269,-43.2611414863383,107.8802782210822,-35.86923424210541,-122.39151721479205,39.7587124112659,-98.08445939167476,-128.3178747657061,-155.3677019467196,-139.33863257079454,-99.23041594528686
3,6.12473817610385,10.998124158545254,9.248799311290862,7.169648955743598,15.596307143555391,17.62664163959516,21.55137025325615,17.389711071330748,16.07408061109493,21.650412105254244,21.451223437522263,18.1753360483747,18.671989678931045,17.366900430537523,16.92905297960295,-57.82973801357571,-100.54385614123727,-42.71411812770669,108.10166608418056,-36.47267894969752,-121.90091520512017,39.66029438272075,-98.6450814690959,-128.532783752094,-155.04039248091533,-140.2256298027989,-99.66458438665764
4,6.11779585691004,10.118435782805959,7.150696973247339,7.511179081249547,15.016118772422132,17.051223195634634,20.799055764872914,16.891393539970817,15.752375710681333,21.64071347191016,21.135160276124186,17.86358907108376,18.177122955611154,17.1734907573075,16.735831892851948,-58.19940339186984,-100.29651605362726,-42.09711266180275,108.34766141866938,-37.15084706094356,-121.34507238455751,39.64204815050002,-99.0342838356388,-128.71655943924384,-154.91225607317193,-141.14235841899432,-100.11814804849172
5,6.110853537716229,9.238747407066661,5.052594635203817,7.852709206755497,14.435930401288873,16.475804751674108,20.046741276489676,16.393076008610887,15.430670810267733,21.63101483856608,20.81909711472611,17.55184209379282,17.682256232291262,16.980081084077476,16.542610806100946,-58.39880189135226,-99.9889274497363,-41.59012555842958,108.39326561620598,-37.60373911211249,-120.78399022897929,39.56397435185491,-99.29206800003502,-128.99920300819932,-155.0832953967789,-142.1088208812325,-100.52110881448903
6,6.10391121852242,8.359059031327366,2.9544922971602947,8.194239332261446,13.855742030155616,15.900386307713584,19.294426788106442,15.894758477250953,15.108965909854135,21.621316205221998,20.503033953328032,17.240095116501884,17.18738950897137,16.786671410847454,16.349389719349944,-58.31793429767741,-99.48109158917391,-41.163157291542255,108.05848009224961,-37.736355651881226,-120.06267023497256,39.92607362250968,-99.11843553642872,-129.0207156889443,-154.9435131677347,-142.49501967030767,-100.62346859791413
7,6.096968899328609,7.47937065558807,0.8563899591167736,8.535769457767396,13.275553659022357,15.324967863753058,18.542112299723204,15.396440945891023,14.787261009440536,21.611617571877915,20.186970791929955,16.928348139210946,16.69252278565148,16.59326173761743,16.156168632598945,-58.26680141102442,-99.40300975023997,-41.1362083392615,107.96830628612932,-37.698697241368535,-119.97111391989756,40.088346596657196,-98.96338808459376,-129.1810987605693,-155.1929121448501,-143.2209572859886,-100.74522934166491
8,5.7979295444355845,6.541219909668123,-0.36538182752690096,8.877318973551583,12.695418308142814,14.86640964599416,17.789890700180397,14.8397516668086,14.115100357157479,21.48514757639093,19.92942876812476,16.32463472428093,15.847132211496223,16.34169641825025,16.021506257445743,-58.16540404613753,-99.37468322997884,-41.20927918388746,107.85274566111153,-37.56076445416859,-119.97932282194871,40.26079390695447,-98.58692735014928,-129.25035355143783,-155.43149512985124,-143.6766362470501,-100.69639301834083
9,5.48586189945687,5.600461589467295,-1.5480669845946857,9.218869354192783,12.115285322104956,14.413063699297137,17.037673243722285,14.280458855443433,13.427308463747224,21.353469273410997,19.674496939780397,15.707898844279528,14.986107358822167,16.087537205295,15.88945575365205,-58.02374303236634,-99.39611334423344,-41.37237031191344,107.72179970446729,-37.337557876384324,-120.0822985002156,40.3734161845184,-97.98905510477384,-129.1784814393514,-155.68926496748153,-143.94205909130488,-100.54696163031056
10,5.17379425447878,4.659703269268351,-2.7307521416601026,9.5604197348333,11.53515233606826,13.959717752601021,16.285455787265683,13.721166044079384,12.739516570338346,21.22179097043133,19.419565111436544,15.091162964279363,14.125082506149834,15.833377992340257,15.757405249858625,-57.77181921370574,-99.44730142769899,-41.67548221403975,107.49546992753912,-36.93407810666051,-120.28504253474357,40.54621405892161,-97.12977318641839,-129.00548385171444,-155.98622454560305,-144.30722837563476,-100.296937209779
