Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,-20.657687906175106,-12.375072650462641,-14.496839828203893,-18.456228614272426,-10.304792334492763,-13.505807804639598,-10.127115234252301,-15.773780223413054,-11.348574796069768,-7.536174272997834,-10.567741652834371,-7.372651772423208,-8.272392957380326,-4.568639350075188,-1.6518143871867499
0.002,-21.019635019468762,-12.613927004333107,-14.373753042484791,-18.752985633029095,-10.956272863848975,-14.108908478768045,-10.4103181429406,-16.217415662871662,-12.059927836191019,-8.09912477653564,-10.724545222514438,-8.303696119527077,-8.768181932578628,-5.061625577885068,-2.2728785920528276
0.004,-21.38158213276207,-12.852781358203341,-14.250666256765811,-19.04974265178548,-11.60775339320456,-14.71200915289591,-10.693521051628629,-16.661051102329846,-12.771280876311586,-8.6620752800729,-10.881348792194352,-9.234740466630047,-9.263970907776452,-5.554611805694474,-2.8939427969183065
0.006,-21.743529246055378,-13.091635712073575,-14.127579471046829,-19.34649967054186,-12.259233922560146,-15.315109827023775,-10.976723960316656,-17.104686541788027,-13.482633916432151,-9.225025783610162,-11.038152361874268,-10.16578481373302,-9.759759882974276,-6.04759803350388,-3.5150070017837862
0.008,-22.105401797621823,-13.472638914327069,-14.07013231277968,-19.665160612371682,-12.910728114447435,-15.841645415936766,-11.270829892652328,-17.493641550077456,-14.193946778021802,-9.831774359482983,-11.194960212384949,-11.053075714875392,-10.233660656156026,-6.562466469534991,-4.103269176426433
0.01,-22.466932878089406,-14.50464263960807,-14.3132956222628,-20.084135172912767,-13.562284876766286,-16.017535107341676,-11.614868512995837,-17.63217603301263,-14.905075633581985,-10.639105411555658,-11.35178766785887,-11.739988515672028,-10.607319808508155,-7.177549076549537,-4.541307560480426
0.012,-22.828463958556988,-15.536646364889073,-14.556458931745919,-20.503109733453854,-14.213841639085135,-16.193424798746587,-11.958907133339345,-17.770710515947805,-15.61620448914217,-11.446436463628334,-11.508615123332792,-12.426901316468662,-10.980978960860284,-7.792631683564083,-4.979345944534419
0.014,-23.18999503902457,-16.568650090170078,-14.799622241229036,-20.92208429399494,-14.865398401403986,-16.369314490151496,-12.302945753682854,-17.90924499888298,-16.327333344702353,-12.253767515701009,-11.665442578806713,-13.113814117265298,-11.354638113212413,-8.407714290578628,-5.417384328588413
0.016,-23.505835452209137,-17.53975495981412,-15.012352168191788,-21.300488260587645,-15.451013966606578,-16.50462291820692,-12.60638490016229,-17.997055586990058,-16.977568995589888,-12.98502476470143,-11.81212555073846,-13.765216212263505,-11.713073098094668,-8.987288742188811,-5.79455354417229
0.018000000000000002,-23.317650691927078,-17.839069328205476,-14.889363844226153,-21.231347862685404,-15.309215701117754,-16.19226928493928,-12.461961100577655,-17.525318210276797,-16.956076482428486,-12.877092873557297,-11.8469021885945,-14.024890833917462,-11.903566485571654,-9.175163854490094,-5.500259745069596
0.02,-23.129465931645022,-18.138383696596833,-14.76637552026052,-21.162207464783158,-15.16741743562893,-15.87991565167164,-12.317537300993019,-17.053580833563537,-16.934583969267088,-12.769160982413164,-11.881678826450543,-14.284565455571418,-12.094059873048641,-9.363038966791375,-5.205965945966902
0.022,-22.941281171362967,-18.437698064988194,-14.643387196294887,-21.093067066880916,-15.025619170140105,-15.567562018403999,-12.173113501408384,-16.581843456850276,-16.913091456105686,-12.66122909126903,-11.916455464306585,-14.544240077225373,-12.284553260525627,-9.550914079092658,-4.911672146864208
0.024,-22.753096411080726,-18.73701243337984,-14.520398872329134,-21.023926668978607,-14.883820904651145,-15.255208385136058,-12.028689701823609,-16.11010608013656,-16.891598942944263,-12.553297200124794,-11.951232102162662,-14.80391469887958,-12.475046648002797,-9.738789191394122,-4.617378347761231
0.026000000000000002,-22.624747324443938,-18.373395405108372,-14.39746146541354,-20.77421873922721,-14.561386074259394,-15.003122131422144,-12.004561124688744,-15.999874988087013,-16.387969582245915,-11.903429700092987,-12.046258444588744,-15.063580722696125,-12.364268828556934,-9.203798711516841,-4.383391763120871
0.028,-22.497185549302504,-18.00105559530163,-14.27452472845913,-20.52213492089878,-14.236574446960962,-14.751828869544486,-11.982015379428262,-15.894400557677908,-15.87799631565875,-11.246431468365097,-12.142077546285508,-15.32324663338323,-12.249526914283033,-8.659296842268528,-4.1501986944602995
0.03,-22.369623774160946,-17.628715785494528,-14.151587991504604,-20.270051102570108,-13.911762819662215,-14.500535607666585,-11.959469634167755,-15.788926127268702,-15.368023049071093,-10.589433236636573,-12.237896647982364,-15.582912544070584,-12.134785000009021,-8.114794973019693,-3.9170056257995047
0.032,-22.24206199901951,-17.25637597568779,-14.028651254550194,-20.01796728424168,-13.586951192363781,-14.249242345788925,-11.936923888907273,-15.6834516968596,-14.858049782483928,-9.932435004908683,-12.333715749679127,-15.842578454757689,-12.020043085735118,-7.57029310377138,-3.6838125571389337
