-31,10,-32,-35,-26,31,-31,-110,-39,-40,-30,-28,-34,-41,-82,-32,124,
-17,20,-25,-24,-23,-53,-24,-100,-34,-33,-27,-28,-30,-38,-74,-21,124,
-40,11,-42,-45,-38,-103,-32,-109,-47,-48,-42,-35,-44,-49,-86,-36,124,
-33,5,-43,-46,-39,-92,-43,-121,-53,-52,-50,-46,-53,-57,-92,-37,124,
-48,-6,-55,-66,-48,-55,-51,-131,-68,-64,-57,-51,-61,-61,-102,-53,124,
-38,5,-46,-58,-45,-29,-47,-125,-58,-57,-50,-46,-55,-56,-90,-34,124,
-65,-6,-69,-83,-62,-43,-68,-147,-74,-73,-68,-56,-73,-74,-109,-47,125,
-35,30,-42,-54,-36,-25,-47,-123,-46,-45,-43,-33,-47,-51,-82,-7,125,
-44,28,-49,-63,-43,-49,-55,-131,-51,-51,-48,-29,-51,-53,-87,-18,125,
-29,33,-40,-52,-37,-58,-52,-125,-43,-46,-48,-30,-48,-58,-89,-12,125,
-69,-4,-69,-81,-71,-81,-81,-156,-77,-77,-76,-51,-75,-80,-113,-42,125,
-61,-5,-60,-68,-67,-47,-74,-147,-71,-73,-70,-50,-69,-76,-105,-42,125,
-72,-18,-68,-69,-67,-8,-76,-150,-70,-68,-67,-53,-69,-75,-108,-49,126,
-54,-8,-43,-43,-48,46,-53,-126,-45,-44,-42,-35,-48,-55,-87,-23,126,
-61,-15,-52,-56,-48,101,-52,-130,-45,-50,-45,-33,-50,-59,-89,-29,126,
-21,31,-10,-12,-10,218,-10,-84,-6,-8,0,7,-9,-18,-47,20,126,
-33,29,-17,-21,-19,243,-23,-100,-16,-14,-9,1,-18,-30,-60,8,126,
-21,56,-4,-6,-13,262,-11,-86,-6,-2,0,14,-12,-20,-47,27,126,
-31,49,-26,-38,-19,339,-21,-98,-17,-17,-13,5,-21,-30,-60,15,127,
-7,85,-9,-24,-4,321,-7,-82,-2,-2,3,24,-4,-11,-45,34,127,
-27,67,-30,-45,-23,200,-29,-104,-26,-25,-21,15,-30,-35,-67,5,127,
-30,62,-28,-42,-31,131,-31,-100,-34,-32,-29,15,-38,-40,-69,-4,127,
-39,33,-39,-57,-39,65,-44,-118,-51,-49,-43,-1,-48,-51,-80,-27,127,
-36,23,-25,-37,-36,17,-34,-97,-37,-32,-32,11,-35,-38,-66,-14,127,
-40,-2,-37,-49,-38,-62,-42,-112,-46,-40,-42,-13,-46,-49,-80,-32,128,
-24,10,-14,-28,-16,-84,-20,-90,-28,-14,-16,5,-39,-34,-61,-17,128,
-16,21,-16,-32,-5,-115,-14,-87,-18,-12,-14,2,-17,-20,-54,-18,128,
-14,43,-12,-22,-7,-166,-8,-77,-12,-9,-22,-2,-19,-24,-56,-23,128,
-17,39,-16,-24,-11,-187,-14,-86,-12,-12,-23,-15,-17,-26,-57,-28,128,
-7,32,-8,-15,-5,-177,0,-72,-13,-8,-14,-11,-9,-17,-49,-25,128,
